id,Site,site,lat,long,UTM_Zone,UTM_X,UTM_Y,climate zone,size.ha,E,wsg.site.name,koppen
42,Amacayacu,amacayacu,-3.81,-70.27,19,359223.7022,9578870.297,tropical,25,-0.07928769,amacayacu,Af
51,Badagongshan,badagongshan,29.46,110.52,49,453456.2453,3259047.312,subtropical,25,1.011620732,NA,Cfa
52,Baotianman,baotianman,33.5,111.94,49,587323.8348,3706005.813,subtropical,25,1.199599082,NA,Cwa
45,Barro Colorado Island,bci,9.15,-79.85,17,626783.7403,1012114.358,tropical,50,0.049445487,bci,Am
18,Bukit Timah,bukit timah,1.35,103.78,48,364271.6602,149249.8881,tropical,4,-0.084798024,bukittimah,Af
53,Changbaishan,changbaishan,42.38,128.08,52,424513.4019,4692742.225,temperate,25,1.834148906,changbai,Dwb
46,Cocoli,cocoli,8.99,-79.62,17,652074.2927,993779.1758,tropical,4,0.070253499,NA,Am
14,Danum Valley,danum valley,5.1,117.69,50,576257.6994,563967.7964,tropical,50,-0.044607199,NA,Af
7,Dinghushan,dinghushan,23.17,112.51,49,654668.0285,2563086.118,tropical,20,0.655347094,NA,Cfa
25,Doi Inthanon,doi inthanon,18.58,98.43,47,440211,2054819,tropical,15,0.405736946,NA,Aw
54,Donglingshan,donglingshan,39.96,115.43,50,365470.3933,4424127.891,temperate,20,1.7615144,NA,Dwa
20,Fushan,fushan,24.76,121.56,51,353895.0124,2739300.107,subtropical,25,0.430479025,fushan,Cfa
55,Gutianshan,gutianshan,29.25,118.12,50,608536.5224,3236200.982,subtropical,24,1.055180773,gutian,Cfa
29,Haliburton,haliburton,45.29,-78.64,17,685242.9898,5017892.345,temperate,13.5,1.869090628,haliburton,Dfb
31,Harvard Forest,harvard forest,42.54,-72.18,18,731942.9165,4713468.255,temperate,35,1.716028059,harvardforest,Dfb
8,Heishiding,heishiding,23.27,111.53,49,554207.1143,2573508.247,tropical,50,0.746411624,heishiding,Cfa
9,Hong Kong,hong kong,22.43,114.18,50,209917.6,2482736.6,tropical,21,0.490748617,NA,Cwa
26,Huai Kha Khaeng,huai kha khaeng,15.63,99.22,47,523259.1915,1728286.072,tropical,50,0.31946635,hkk,Aw
40,Ilha do Cardoso,ilha do cardoso,-25.1,-47.96,23,201725.4144,7221210.87,subtropical,10.2,0.210911743,NA,Cfa
2,Ituri,ituri (edoro & lenda),1.44,28.58,35,675781.69,159224.52,tropical,40,0.003627707,ituri,Am
10,Jianfengling,jianfengling,18.73,108.91,49,279109.9787,2072338.72,tropical,60,0.28396406,NA,Aw
21,Kenting,kenting,21.98,120.8,51,272526.2425,2432250.629,tropical,10,0.097674343,kenting,Am
27,Khao Chong,khao chong,7.54,99.8,47,588036.7725,833908.7871,tropical,24,0.047869472,khaochong,Am
1,Korup,korup,5.07,8.85,32,483894.67,560834.91,tropical,55,-0.089526908,korup,Am
