site,family,species,species_code,life_form,dependent_variable_biomass_component,equation_grouping,equation_id,allometry_specificity,dbh_min_cm,dbh_max_cm,wsg_id,wsg_specificity
Wind River,Rosaceae,Amelanchier alnifolia,AMAL,Tree,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Wind River,Cornaceae,Cornus nuttallii,CONU,Tree,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Wind River,Betulaceae,Corylus cornuta,COCOC,Shrub,Total aboveground biomass,G,NA,Mixed hardwood,2.5,56,NA,NA
Wind River,Ericaceae,Gaultheria shallon,GASH,Shrub,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Wind River,Rosaceae,Holodiscus discolor,HODI,Shrub,Total aboveground biomass,E,NA,Species,0.7,2.2,NA,NA
Wind River,Caprifoliaceae,Lonicera ciliosa,LOCI,Shrub,Total aboveground biomass,E,NA,Species,0.12,0.69,NA,NA
Wind River,Ericaceae,Menziesia ferruginea,MEFE,Shrub,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Wind River,Rosaceae,Oemleria cerasiformis,OECE,Shrub,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Wind River,Pinaceae,Pinus monticola,PIMO,Tree,Total aboveground biomass,G,NA,Genus,3,180,NA,NA
Wind River,Pinaceae,Pseudotsuga menziesii,PSME,Tree,Total aboveground biomass,E,NA,Species,10,40,NA,NA
Wind River,Pinaceae,Pseudotsuga menziesii,PSME,Tree,Total aboveground biomass,E,NA,Species,1.4,13.4,NA,NA
Wind River,Rhamnaceae,Rhamnus purshiana,RHPU,Shrub,Total aboveground biomass,G,NA,Mixed hardwood,2.5,56,NA,NA
Wind River,Ericaceae,Rhododendron macrophyllum,RHMA,Shrub,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Wind River,Rosaceae,Rosa gymnocarpa,ROGY,Shrub,Total aboveground biomass,E,NA,Genus,0.2,1.2,NA,NA
Wind River,Rosaceae,Rubus leucodermis,RULE,Shrub,Total aboveground biomass,E,NA,Species,0.1,1.1,NA,NA
Wind River,Rosaceae,Rubus spectabilis,RUSP,Shrub,Total aboveground biomass,E,NA,Species,0.1,1.1,NA,NA
Wind River,Taxaceae,Taxus brevifolia,TABR,Tree,Total aboveground biomass,G,NA,Family,3,109,NA,NA
Wind River,Cupressaceae,Thuja plicata,THPL,Tree,Total aboveground biomass,E,NA,Species,0.18,2.23,NA,NA
Wind River,Cupressaceae,Thuja plicata,THPL,Tree,Total aboveground biomass,E,NA,Species,4.2,7,NA,NA
Wind River,Pinaceae,Tsuga heterophylla,TSHE,Tree,Whole tree (above stump),E,NA,Species,16,49,NA,NA
Wind River,Ericaceae,Vaccinium membranaceum,VAME,Shrub,Total aboveground biomass,E,NA,Species,0.4,3.3,NA,NA
Wind River,Ericaceae,Vaccinium ovalifolium,VAOV,Shrub,Total aboveground biomass,E,NA,Species,0.4,3.3,NA,NA
Wind River,Ericaceae,Vaccinium parvifolium,VAPA,Shrub,Total aboveground biomass,E,NA,Species,0.4,3.3,NA,NA
Wytham Woods,Sapindaceae,Acer campestre,ACERCA,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Sapindaceae,Acer pseudoplatanus,ACERPS,Tree,Total aboveground biomass,E,NA,Species,11.5,96.5,NA,NA
Wytham Woods,Betulaceae,Betula sp.,BETUSP,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Betulaceae,Carpinus betulus,CARPBE,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Fagaceae,Castanea sativa,CASTSA,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Cornaceae,Cornus sanguinea,CORNSA,Shrub,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Betulaceae,Corylus avellana,CORYAV,Shrub,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Rosaceae,Crataegus monogyna,CRATMO,Shrub,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Celastraceae,Euonymus europaeus,EUONEU,Shrub,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Fagaceae,Fagus sylvatica,FAGUSY,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Rhamnaceae,Frangula alnus,FRANAL,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Oleaceae,Fraxinus excelsior,FRAXEX,Tree,Total aboveground biomass,E,NA,Species,9,104,NA,NA
Wytham Woods,Aquifoliaceae,Ilex aquifolium,ILEXAQ,Shrub,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Pinaceae,Larix decidua,LARIDE,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Pinaceae,Picea abies,PICEAB,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Pinaceae,Pinus sylvatica,PINUSY,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Rosaceae,Prunus avium,PRUNAV,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Rosaceae,Prunus spinosa,PRUNSP,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Pinaceae,Pseudotsuga menziesii,PSEUME,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Fagaceae,Quercus robur,QUERRO,Tree,Total aboveground biomass,E,NA,Species,14,162.5,NA,NA
Wytham Woods,Salicaceae,Salix sp.,SALISP,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Adoxaceae,Sambucus nigra,SAMBNI,Shrub,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Taxaceae,Taxus baccata,TAXUBA,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Wytham Woods,Malvaceae,Tilia x europaea,TILIEU,Tree,Total aboveground biomass,E,NA,Woody species,NI,NI,NA,NA
Yosemite,Pinaceae,Abies concolor,ABCO,Tree,Branches (live),E,NA,Species,18.8,111,NA,NA
Yosemite,Pinaceae,Abies concolor,ABCO,Tree,Foliage total,E,NA,Species,18.8,111,NA,NA
Yosemite,Pinaceae,Abies concolor,ABCO,Tree,Stem biomass,E,NA,Species,15.9,235.5,NA,NA
Yosemite,Pinaceae,Abies concolor,ABCO,Tree,Stem biomass (with bark),E,NA,Species,14.4,158.4,NA,NA
Yosemite,Pinaceae,Abies magnifica,ABMA,Tree,Branches (live),E,NA,Species,18.8,111,NA,NA
Yosemite,Pinaceae,Abies magnifica,ABMA,Tree,Foliage total,E,NA,Species,18.8,111,NA,NA
Yosemite,Pinaceae,Abies magnifica,ABMA,Tree,Stem biomass,E,NA,Species,15.9,235.5,NA,NA
Yosemite,Pinaceae,Abies magnifica,ABMA,Tree,Stem biomass (with bark),E,NA,Species,18.8,143.2,NA,NA
Yosemite,Pinaceae,Abies sp.,ABSP,Tree,Branches (live),E,NA,Genus,8.7,111,NA,NA
Yosemite,Pinaceae,Abies sp.,ABSP,Tree,Foliage total,E,NA,Genus,8.7,111,NA,NA
Yosemite,Pinaceae,Abies sp.,ABSP,Tree,Stem bark biomass,E,NA,Genus,8.7,111,NA,NA
Yosemite,Pinaceae,Abies sp.,ABSP,Tree,Stem biomass (without bark),E,NA,Genus,8.7,111,NA,NA
Yosemite,Ericaceae,Arctostaphylos patula,ARPA,Shrub,Total aboveground biomass,E,NA,Species,0.4,11.5,NA,NA
Yosemite,Cupressaceae,Calocedrus decurrens,CADE,Tree,Stem biomass (with bark),E,NA,Species,25,143.9,NA,NA
Yosemite,Rhamnaceae,Ceanothus cordulatus,CECO,Shrub,Total aboveground biomass,E,NA,Species,0.3,11.7,NA,NA
Yosemite,Rhamnaceae,Ceanothus integerrimus,CEIN,Shrub,Total aboveground biomass,E,NA,Species,0.3,6.5,NA,NA
Yosemite,Rhamnaceae,Ceanothus parvifolius,CEPA,Shrub,Total aboveground biomass,E,NA,Species,0.3,6.5,NA,NA
Yosemite,Fagaceae,Chrysolepis sempervirens,CHSE,Shrub,Total aboveground biomass,E,NA,Species,0.8,13,NA,NA
Yosemite,Cornaceae,Cornus nuttallii,CONU,Tree,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Yosemite,Cornaceae,Cornus sericea,COSE,Shrub,Total aboveground biomass,E,NA,Species,0.9,5.7,NA,NA
Yosemite,Betulaceae,Corylus cornuta subsp. californica,COCOC,Shrub,Total aboveground biomass,G,NA,Mixed hardwood,2.5,56,NA,NA
Yosemite,Rosaceae,Holodiscus discolor,HODI,Shrub,Total aboveground biomass,E,NA,Species,0.7,2.2,NA,NA
Yosemite,Ericaceae,Leucothoe davisiae,LEDA,Shrub,Total aboveground biomass,E,NA,Species,0.5,2.6,NA,NA
Yosemite,Pinaceae,Pinus lambertiana,PILA,Tree,Total aboveground biomass,E,NA,Species,10,40,NA,NA
Yosemite,Pinaceae,Pinus lambertiana,PILA,Tree,Total aboveground biomass,E,NA,Species,1.4,13.4,NA,NA
Yosemite,Pinaceae,Pinus ponderosa,PIPO,Tree,Stem biomass (with bark),E,NA,Species,24.1,117.7,NA,NA
Yosemite,Pinaceae,Pinus ponderosa,PIPO,Tree,"Crown biomass (branches, foliage, twigs)",E,NA,Species,2.54,30.48,NA,NA
Yosemite,Rosaceae,Prunus emarginata,PREM,Tree,Whole tree (above stump),E,NA,Species,1.7,13.2,NA,NA
Yosemite,Rosaceae,Prunus emarginata,PREM,Tree,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Yosemite,Rosaceae,Prunus virginiana,PRVI,Tree,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Yosemite,Pinaceae,Pseudotsuga menziesii,PSME,Tree,Total aboveground biomass,E,NA,Species,10,40,NA,NA
Yosemite,Pinaceae,Pseudotsuga menziesii,PSME,Tree,Total aboveground biomass,E,NA,Species,1.4,13.4,NA,NA
Yosemite,Rhamnaceae,Rhamnus californica,RHCA,Shrub,Total aboveground biomass,G,NA,Mixed hardwood,2.5,56,NA,NA
Yosemite,Ericaceae,Rhododendron occidentale,RHOC,Shrub,Total aboveground biomass,G,NA,Family,3,64,NA,NA
Yosemite,Grossulariaceae,Ribes nevadaense,RINE,Shrub,Total aboveground biomass,E,NA,Genus,0.4,1.4,NA,NA
Yosemite,Grossulariaceae,Ribes roezlii,RIRO,Shrub,Total aboveground biomass,E,NA,Genus,0.4,1.4,NA,NA
Yosemite,Salicaceae,Salix scouleriana,SASC,Tree,Total aboveground biomass,G,NA,Family,3,70,NA,NA
Yosemite,Salicaceae,Salix sp.,SALIX,Tree,Total aboveground biomass,G,NA,Family,3,70,NA,NA
Yosemite,Adoxaceae,Sambucus racemosa,SARA,Shrub,Total aboveground biomass,G,NA,Mixed hardwood,2.5,56,NA,NA
Yosemite,Ericaceae,Vaccinium uliginosum,VAUL,Shrub,Total aboveground biomass,E,NA,Species,0.5,2.6,NA,NA
Zofin,Pinaceae,Abies alba,JD,Tree,Total aboveground biomass,E,NA,Species,NI,40,NA,NA
Zofin,Aceraceae,Acer platanoides,JV,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Aceraceae,Acer pseudoplatanus,KL,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Betulaceae,Betula pendula,BR,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Fagaceae,Fagus sylvatica,BK,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Pinaceae,Picea abies,SM,Tree,Total aboveground biomass,E,NA,Species,NI,40,NA,NA
Zofin,Salicaceae,Populus tremula,TP,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Salicaceae,Salix caprea,VR,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Sambucaceae,Sambucus racemosa,BEZ,Shrub,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Rosaceae,Sorbus aucuparia,JR,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
Zofin,Ulmaceae,Ulmus glabra,JL,Tree,Total aboveground biomass,E,NA,Genus,NI,50,NA,NA
