"site","family","species","species_code","life_form","variable_biomass_component","equation_grouping","equation_id","allometry_specificity","wsg","wsg_id"
"SCBI","Fagaceae","Quercus montana","qupr","Tree","Stem + branches (live)","",NA,"Species","0.57",NA
"SCBI","Fagaceae","Quercus muehlenbergii","qumu","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"SCBI","Fagaceae","Quercus rubra","quru","Tree","Stem + branches (live)","",NA,"Species","0.56",NA
"SCBI","Fagaceae","Quercus velutina","quve","Tree","Whole tree (above stump)","",NA,"Species","0.56",NA
"SCBI","Juglandaceae","Carya cordiformis","caco","Tree","Stem + branches (live)","",NA,"Genus","0.6",NA
"SCBI","Juglandaceae","Carya glabra","cagl","Tree","Stem + branches (live)","",NA,"Genus","0.66",NA
"SCBI","Juglandaceae","Carya ovalis","caovl","Tree","Stem + branches (live)","",NA,"Genus","0.62",NA
"SCBI","Juglandaceae","Carya tomentosa","cato","Tree","Stem + branches (live)","",NA,"Genus","0.64",NA
"SCBI","Magnoliaceae","Liriodendron tulipifera","litu","Tree","Stem + branches (live)","",NA,"Species","0.4",NA
"SCBI","Malvaceae","Tilia americana","tiam","Tree","Stem + branches (live)","",NA,"Species","0.32",NA
"SCBI","Oleaceae","Fraxinus americana","fram","Tree","Stem + branches (live)","",NA,"Species","0.51",NA
"SCBI","Oleaceae","Fraxinus nigra","frni","Tree","Total aboveground biomass","",NA,"Species","0.45",NA
"SCBI","Oleaceae","Fraxinus pennsylvanica","frpe","Tree","Total aboveground biomass","",NA,"Species","0.53",NA
"SCBI","Rosaceae","Prunus avium","prav","Tree","Stem + branches (live)","",NA,"Species","0.47",NA
"SCBI","Rosaceae","Prunus persica","prpe","Tree","Stem + branches (live)","",NA,"Species","0.47",NA
"SCBI","Rosaceae","Prunus serotina","prse","Tree","Stem + branches (live)","",NA,"Species","0.47",NA
"SCBI","Rosaceae","Amelanchier arborea","amar","Tree","Stem (wood + bark)","",NA,"Genus","0.66",NA
"SCBI","Aceraceae","Acer negundo","acne","Tree","Total aboveground biomass","G",NA,"Family","0.44",NA
"SCBI","Aceraceae","Acer platanoides","acpl","Tree","Total aboveground biomass","G",NA,"Family","0.44",NA
"SCBI","Aceraceae","Acer rubrum","acru","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"SCBI","Adoxaceae","Sambucus canadensis","saca","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SCBI","Annonaceae","Asimina triloba","astr","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.47",NA
"SCBI","Aquifoliaceae","Ilex verticillata","ilve","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SCBI","Berberidaceae","Berberis thunbergii","beth","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SCBI","Betulaceae","Carpinus caroliniana","caca","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.58",NA
"SCBI","Betulaceae","Corylus americana","coam","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SCBI","Cannabaceae","Celtis occidentalis","ceoc","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.49",NA
"SCBI","Celastraceae","Euonymus alatus","eual","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SCBI","Ebenaceae","Diospyros virginiana","divi","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.64",NA
"SCBI","Elaeagnaceae","Elaeagnus umbellata","elum","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SCBI","Fabaceae","Cercis canadensis","ceca","Tree","Total aboveground biomass","G",NA,"Family","0.63",NA
"SCBI","Fagaceae","Castanea dentata","cade","Tree","Total aboveground biomass","G",NA,"Family","0.4",NA
"SCBI","Juglandaceae","Juglans cinerea","juci","Tree","Total aboveground biomass","G",NA,"Family","0.36",NA
"SCBI","Juglandaceae","Juglans nigra","juni","Tree","Total aboveground biomass","G",NA,"Family","0.51",NA
"SCBI","Lauraceae","Lindera benzoin","libe","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SCBI","Oleaceae","Chionanthus virginicus","chvi","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SCBI","Paulowniaceae","Paulownia tomentosa","pato","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.38",NA
"SCBI","Pinaceae","Pinus pungens","pipu","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"SCBI","Pinaceae","Pinus strobus","pist","Tree","Whole tree (aboveground)","",NA,"Species","0.34",NA
"SCBI","Rosaceae","Crataegus pruinosa","crpr","Shrub","Total aboveground biomass","G",NA,"Family","0.62",NA
"SCBI","Simaroubaceae","Ailanthus altissima","aial","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.33",NA
"SCBI","Lauraceae","Sassafras albidum","saal","Tree","Whole tree (above stump)","",NA,"Species","0.42",NA
"SCBI","Pinaceae","Pinus virginiana","pivi","Tree","Whole tree (aboveground)","",NA,"Species","0.45",NA
"SCBI","Rosaceae","Amelanchier arborea","amar","Tree","Branches total (live + dead)","",NA,"Genus","0.66",NA
"SCBI","Rosaceae","Amelanchier arborea","amar","Tree","Foliage total","",NA,"Genus","0.66",NA
"SERC","Lauraceae","Sassafras albidum","SAAL5","Tree","Whole tree (above stump)","",NA,"Species","0.42",NA
"SERC","Juglandaceae","Carya cordiformis","CACO15","Tree","Whole tree (aboveground)","",NA,"Genus","0.6",NA
"SERC","Juglandaceae","Carya glabra","CAGL8","Tree","Whole tree (aboveground)","",NA,"Genus","0.66",NA
"SERC","Juglandaceae","Carya sp.","CARYA","Tree","Whole tree (aboveground)","",NA,"Genus","0.62",NA
"SERC","Altingiaceae","Liquidambar styraciflua","LIST2","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"SERC","Cornaceae","Cornus florida","COFL2","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"SERC","Fagaceae","Quercus falcata","QUFA","Tree","Whole tree (above stump)","",NA,"Species","0.52",NA
"SERC","Fagaceae","Quercus falcata","QUFA","Tree","Whole tree (above stump)","",NA,"Species","0.52",NA
"SERC","Fagaceae","Quercus stellata","QUST","Tree","Whole tree (aboveground)","",NA,"Species","0.6",NA
"SERC","Nyssaceae","Nyssa sylvatica","NYSY","Tree","Whole tree (aboveground)","",NA,"Species","0.46",NA
"SERC","Oleaceae","Fraxinus pennsylvanica","FRPE","Tree","Whole tree (above stump)","",NA,"Species","0.53",NA
"SERC","Platanaceae","Platanus occidentalis","PLOC","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"SERC","Platanaceae","Platanus occidentalis","PLOC","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"SERC","Ulmaceae","Ulmus americana","ULAM","Tree","Whole tree (above stump)","",NA,"Genus","0.46",NA
"SERC","Ulmaceae","Ulmus rubra","ULRU","Tree","Stem + branches (live)","",NA,"Genus","0.48",NA
"SERC","Malvaceae","Tilia americana","TIAM","Tree","Stem + branches (live)","",NA,"Species","0.32",NA
"SERC","Oleaceae","Fraxinus americana","FRAM2","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"SERC","Adoxaceae","Viburnum acerifolium","VIAC","Shrub","Total aboveground biomass","",NA,"Species","0.83",NA
"SERC","Adoxaceae","Viburnum dentatum","VIDE","Shrub","Total aboveground biomass","",NA,"Species","0.83",NA
"SERC","Adoxaceae","Viburnum prunifolium","VIPR","Shrub","Total aboveground biomass","",NA,"Species","0.83",NA
"SERC","Caprifoliaceae","Lonicera maackii","LOMA6","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"SERC","Rosaceae","Rosa multiflora","ROMU","Shrub","Total aboveground biomass","",NA,"Genus","NRA",NA
"SERC","Cupressaceae","Juniperus virginiana","JUVI","Tree","Whole tree (aboveground)","",NA,"Species","0.44",NA
"SERC","Fagaceae","Quercus michauxii","QUMI","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"SERC","Rosaceae","Amelanchier arborea","AMAR3","Tree","Stem (wood + bark)","",NA,"Genus","0.66",NA
"SERC","Rosaceae","Amelanchier canadensis","AMCA4","Tree","Stem (wood + bark)","",NA,"Genus","0.66",NA
"SERC","Aceraceae","Acer negundo","ACNE2","Tree","Total aboveground biomass","G",NA,"Family","0.44",NA
"SERC","Aceraceae","Acer rubrum","ACRU","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"SERC","Adoxaceae","Sambucus nigra","SANIC4","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Anacardiaceae","Rhus typhina","RHTY","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Annonaceae","Asimina triloba","ASTR","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.47",NA
"SERC","Aquifoliaceae","Ilex opaca","ILOP","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SERC","Aquifoliaceae","Ilex verticillata","ILVE","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SERC","Araliaceae","Aralia spinosa","ARSP2","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Betulaceae","Carpinus caroliniana","CACA18","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.58",NA
"SERC","Cannabaceae","Celtis occidentalis","CEOC","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.49",NA
"SERC","Elaeagnaceae","Elaeagnus angustifolia","ELAN","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Elaeagnaceae","Elaeagnus umbellata","ELUM","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Ericaceae","Kalmia latifolia","KALA","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SERC","Ericaceae","Rhododendron arborescens","RHAR3","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SERC","Ericaceae","Vaccinium corymbosum","VACO","Shrub","Total aboveground biomass","G",NA,"Family","0.47",NA
"SERC","Ericaceae","Vaccinium sp.","VACCI","Shrub","Total aboveground biomass","G",NA,"Family","0.47",NA
"SERC","Fabaceae","Albizia julibrissin","ALJU","Tree","Total aboveground biomass","G",NA,"Family","0.57",NA
"SERC","Fabaceae","Cercis canadensis","CECA4","Tree","Total aboveground biomass","G",NA,"Family","0.63",NA
"SERC","Fagaceae","Quercus palustris","QUPA2","Tree","Whole tree (aboveground)","",NA,"Species","0.58",NA
"SERC","Fagaceae","Quercus rubra","QURU","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"SERC","Fagaceae","Quercus sp.","QUERC","Tree","Total aboveground biomass","G",NA,"Family","0.59",NA
"SERC","Fagaceae","Quercus velutina","QUVE","Tree","Whole tree (above stump)","",NA,"Species","0.56",NA
"SERC","Juglandaceae","Juglans nigra","JUNI","Tree","Total aboveground biomass","G",NA,"Family","0.51",NA
"SERC","Lauraceae","Lindera benzoin","LIBE3","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"SERC","Moraceae","Broussonetia papyrifera","BRPA4","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.59",NA
"SERC","Moraceae","Morus rubra","MORU2","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.59",NA
"SERC","Oleaceae","Ligustrum sp.","LIGUS2","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Rubiaceae","Cephalanthus occidentalis","CEOC2","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"SERC","Salicaceae","Salix nigra","SANI","Shrub","Total aboveground biomass","G",NA,"Family","0.36",NA
"SERC","Scrophulariaceae","Paulownia tomentosa","PATO2","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.38",NA
"SERC","Simaroubaceae","Ailanthus altissima","AIAL","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.33",NA
"SERC","Fagaceae","Fagus grandifolia","FAGR","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"SERC","Fagaceae","Quercus alba","QUAL","Tree","Whole tree (aboveground)","",NA,"Species","0.6",NA
"SERC","Fagaceae","Quercus coccinea","QUCO2","Tree","Whole tree (aboveground)","",NA,"Species","0.6",NA
"SERC","Fagaceae","Quercus montana","QUMO4","Tree","Whole tree (aboveground)","",NA,"Species","0.57",NA
"SERC","Juglandaceae","Carya alba","CAAL27","Tree","Whole tree (aboveground)","",NA,"Genus","0.62",NA
"SERC","Magnoliaceae","Liriodendron tulipifera","LITU","Tree","Whole tree (aboveground)","",NA,"Species","0.4",NA
"SERC","Pinaceae","Pinus taeda","PITA","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"SERC","Pinaceae","Pinus virginiana","PIVI2","Tree","Whole tree (aboveground)","",NA,"Species","0.45",NA
"SERC","Rosaceae","Amelanchier arborea","AMAR3","Tree","Branches total (live + dead)","",NA,"Genus","0.66",NA
"SERC","Rosaceae","Amelanchier arborea","AMAR3","Tree","Foliage total","",NA,"Genus","0.66",NA
"SERC","Rosaceae","Amelanchier canadensis","AMCA4","Tree","Branches total (live + dead)","",NA,"Genus","0.66",NA
"SERC","Rosaceae","Amelanchier canadensis","AMCA4","Tree","Foliage total","",NA,"Genus","0.66",NA
"SERC","Rosaceae","Prunus avium","PRAV","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"SERC","Rosaceae","Prunus serotina","PRSE2","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"SERC","Salicaceae","Populus grandidentata","POGR4","Tree","Whole tree (aboveground)","",NA,"Species","0.36",NA
"Tyson","Lauraceae","Sassafras albidum","sasalb","Tree","Whole tree (above stump)","",NA,"Species","0.42",NA
"Tyson","Platanaceae","Platanus occidentalis","plaocc","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"Tyson","Ulmaceae","Ulmus rubra","ulmrub","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"Tyson","Oleaceae","Fraxinus americana","fraame","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"Tyson","Caprifoliaceae","Lonicera maackii","lonmaa","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"Tyson","Cupressaceae","Juniperus virginiana","junvir","Tree","Whole tree (aboveground)","",NA,"Species","0.44",NA
"Tyson","Fagaceae","Quercus alba","quealb","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"Tyson","Fagaceae","Quercus marilandica","quemar","Tree","Stem + branches (live)","",NA,"Species","0.56",NA
"Tyson","Fagaceae","Quercus muehlenbergii","quemue","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"Tyson","Fagaceae","Quercus rubra","querub","Tree","Stem + branches (live)","",NA,"Species","0.56",NA
"Tyson","Fagaceae","Quercus sp.","quesp","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"Tyson","Fagaceae","Quercus stellata","queste","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"Tyson","Fagaceae","Quercus velutina","quevel","Tree","Whole tree (above stump)","",NA,"Species","0.56",NA
"Tyson","Juglandaceae","Carya ovata","carova","Tree","Stem + branches (live)","",NA,"Species","0.62",NA
"Tyson","Malvaceae","Tilia americana","tilame","Tree","Stem + branches (live)","",NA,"Species","0.32",NA
"Tyson","Rosaceae","Amelanchier arborea","amearb","Tree","Stem (wood + bark)","",NA,"Genus","0.66",NA
"Tyson","Annonaceae","Asimina triloba","asitri","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.47",NA
"Tyson","Cannabaceae","Celtis occidentalis","celocc","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.49",NA
"Tyson","Cannabaceae","Celtis tenuifolia","celten","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.49",NA
"Tyson","Ebenaceae","Diospyros virginiana","diovir","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.64",NA
"Tyson","Fabaceae","Cercis canadensis","cercan","Tree","Total aboveground biomass","G",NA,"Family","0.63",NA
"Tyson","Fabaceae","Gleditsia triacanthos","gletri","Tree","Total aboveground biomass","G",NA,"Family","0.6",NA
"Tyson","Juglandaceae","Juglans nigra","jugnig","Tree","Total aboveground biomass","G",NA,"Family","0.51",NA
"Tyson","Lauraceae","Lindera benzoin","linben","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Tyson","Moraceae","Morus rubra","morrub","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.59",NA
"Tyson","Rhamnaceae","Frangula caroliniana","fracar","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.54",NA
"Tyson","Rosaceae","Crataegus sp.","crasp","Shrub","Total aboveground biomass","G",NA,"Family","0.62",NA
"Tyson","Rosaceae","Malus ioensis","malioe","Shrub","Total aboveground biomass","G",NA,"Family","0.61",NA
"Tyson","Sapindaceae","Acer negundo","aceneg","Tree","Total aboveground biomass","G",NA,"Family","0.44",NA
"Tyson","Sapotaceae","Sideroxylon lanuginosum","sidlan","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","unk",NA
"Tyson","Simaroubaceae","Ailanthus altissima","ailalt","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.33",NA
"Tyson","Betulaceae","Ostrya virginiana","ostvir","Tree","Stem + branches (live)","",NA,"Species","0.63",NA
"Tyson","Betulaceae","Ostrya virginiana","ostvir","Tree","Foliage total","",NA,"Species","0.63",NA
"Tyson","Cornaceae","Cornus drummondii","cordru","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"Tyson","Cornaceae","Cornus florida","corflo","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"Tyson","Fagaceae","Quercus velutina","quevel","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"Tyson","Juglandaceae","Carya cordiformis","carcor","Tree","Whole tree (aboveground)","",NA,"Genus","0.6",NA
"Tyson","Juglandaceae","Carya glabra","cargla","Tree","Whole tree (aboveground)","",NA,"Genus","0.66",NA
"Tyson","Juglandaceae","Carya sp.","carsp","Tree","Whole tree (aboveground)","",NA,"Genus","0.62",NA
"Tyson","Juglandaceae","Carya texana","cartex","Tree","Whole tree (aboveground)","",NA,"Genus","0.54",NA
"Tyson","Juglandaceae","Carya tomentosa","cartom","Tree","Whole tree (aboveground)","",NA,"Genus","0.64",NA
"Tyson","Oleaceae","Fraxinus americana","fraame","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"Tyson","Rosaceae","Amelanchier arborea","amearb","Tree","Branches total (live + dead)","",NA,"Genus","0.66",NA
"Tyson","Rosaceae","Amelanchier arborea","amearb","Tree","Foliage total","",NA,"Genus","0.66",NA
"Tyson","Rosaceae","Prunus americana","pruame","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"Tyson","Rosaceae","Prunus serotina","pruser","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"Tyson","Rosaceae","Prunus sp.","prusp","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"Tyson","Sapindaceae","Acer rubrum","acerub","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"Tyson","Sapindaceae","Acer saccharum","acesac","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"UCSC","Asteraceae","Baccharis pilularis","BACCPI","Shrub","Total aboveground biomass","",NA,"genus","NRA",NA
"UCSC","Ericaceae","Arctostaphylos andersonii","ARCTAN","Shrub","Total aboveground biomass","E",NA,"Species ","0.72",NA
"UCSC","Ericaceae","Arctostaphylos tomentosa","ARCTCR","Shrub","Total aboveground biomass","E",NA,"Species","0.72",NA
"UCSC","Lauraceae","Umbellularia californica","UMBECA","Tree","Total aboveground biomass","E",NA,"Species","0.47",NA
"UCSC","Pinaceae","Pseudotsuga menziesii","PSEUME","Tree","Whole tree (above stump)","",NA,"Species","0.45",NA
"UCSC","Adoxaceae","Sambucus nigra","SAMBNI","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"UCSC","Aquifoliaceae","Ilex aquifolium","ILEXAQ","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"UCSC","Betulaceae","Corylus cornuta","CORYCO","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"UCSC","Cupressaceae","Sequoia sempervirens","SEQUSE","Tree","Total aboveground biomass","G",NA,"Family","0.36",NA
