"site","family","species","species_code","life_form","variable_biomass_component","equation_grouping","equation_id","allometry_specificity","wsg","wsg_id"
"Lilly Dicky","Fabaceae","Robinia pseudoacacia","901","Tree","Stem + branches (live)","",NA,"Species","0.66",NA
"Lilly Dicky","Ulmaceae","Ulmus americana","972","Tree","Whole tree (above stump)","",NA,"Species","0.46",NA
"Lilly Dicky","Ulmaceae","Ulmus rubra","975","Tree","Whole tree (above stump)","",NA,"Species","0.48",NA
"Lilly Dicky","Oleaceae","Fraxinus americana","541","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"Lilly Dicky","Oleaceae","Fraxinus pennsylvanica","544","Tree","Whole tree (above stump)","",NA,"Species","0.53",NA
"Lilly Dicky","Hamamelidaceae","Hamamelis virginiana","498","Shrub","Total aboveground biomass","",NA,"Species","0.71",NA
"Lilly Dicky","Cupressaceae","Juniperus virginiana","68","Tree","Whole tree (aboveground)","",NA,"Species","0.44",NA
"Lilly Dicky","Fagaceae","Fagus grandifolia","531","Tree","Stem + branches (live)","",NA,"Species ","0.56",NA
"Lilly Dicky","Fagaceae","Quercus alba","802","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"Lilly Dicky","Fagaceae","Quercus coccinea","806","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"Lilly Dicky","Fagaceae","Quercus prinus","832","Tree","Stem + branches (live)","",NA,"Species","0.57",NA
"Lilly Dicky","Fagaceae","Quercus rubra","833","Tree","Stem + branches (live)","",NA,"Species","0.56",NA
"Lilly Dicky","Fagaceae","Quercus velutina","837","Tree","Whole tree (above stump)","",NA,"Species","0.56",NA
"Lilly Dicky","Juglandaceae","Carya ovata","407","Tree","Stem + branches (live)","",NA,"Species","0.62",NA
"Lilly Dicky","Malvaceae","Tilia americana","951","Tree","Stem + branches (live)","",NA,"Species","0.32",NA
"Lilly Dicky","Rosaceae","Amelanchier arborea","356","Tree","Stem (wood + bark)","",NA,"Genus","0.66",NA
"Lilly Dicky","Anacardiaceae","Rhus typhina","899","Shrub","Total aboveground biomass","G",NA,"Mixed hardwood","0.5",NA
"Lilly Dicky","Annonaceae","Asimina triloba","367","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.47",NA
"Lilly Dicky","Betulaceae","Carpinus caroliniana","391","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.58",NA
"Lilly Dicky","Cannabaceae","Celtis occidentalis","462","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.49",NA
"Lilly Dicky","Fabaceae","Cercis canadensis","471","Tree","Total aboveground biomass","G",NA,"Family","0.63",NA
"Lilly Dicky","Lauraceae","Lindera benzoin","609","Shrub","Total aboveground biomass","G",NA,"Family","0.5",NA
"Lilly Dicky","Paulowniaceae","Paulownia tomentosa","712","Tree","Total aboveground biomass","G",NA,"Mixed hardwood","0.38",NA
"Lilly Dicky","Rosaceae","Crataegus sp.","500","Shrub","Total aboveground biomass","G",NA,"Family","0.62",NA
"Lilly Dicky","Betulaceae","Ostrya virginiana","701","Tree","Stem + branches (live)","",NA,"Species","0.63",NA
"Lilly Dicky","Betulaceae","Ostrya virginiana","701","Tree","Foliage total","",NA,"Species","0.63",NA
"Lilly Dicky","Cornaceae","Cornus florida","491","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"Lilly Dicky","Fagaceae","Quercus velutina","837","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"Lilly Dicky","Juglandaceae","Carya alba","409","Tree","Whole tree (aboveground)","",NA,"Genus","0.62",NA
"Lilly Dicky","Juglandaceae","Carya cordiformis","402","Tree","Whole tree (aboveground)","",NA,"Genus","0.6",NA
"Lilly Dicky","Juglandaceae","Carya glabra","403","Tree","Whole tree (aboveground)","",NA,"Genus","0.66",NA
"Lilly Dicky","Lauraceae","Sassafras albidum","931","Tree","Whole tree (above stump)","",NA,"Species","0.42",NA
"Lilly Dicky","Magnoliaceae","Liriodendron tulipifera","621","Tree","Whole tree (aboveground)","",NA,"Species","0.4",NA
"Lilly Dicky","Nyssaceae","Nyssa sylvatica","693","Tree","Whole tree (aboveground)","",NA,"Species","0.46",NA
"Lilly Dicky","Oleaceae","Fraxinus americana","541","Tree","Whole tree (above stump)","",NA,"Species","0.51",NA
"Lilly Dicky","Rosaceae","Amelanchier arborea","356","Tree","Branches total (live + dead)","",NA,"Genus","0.66",NA
"Lilly Dicky","Rosaceae","Amelanchier arborea","356","Tree","Foliage total","",NA,"Genus","0.66",NA
"Lilly Dicky","Rosaceae","Prunus serotina","762","Tree","Whole tree (aboveground)","",NA,"Species","0.47",NA
"Lilly Dicky","Sapindaceae","Acer rubrum","316","Tree","Whole tree (aboveground)","",NA,"Species","0.49",NA
"Lilly Dicky","Sapindaceae","Acer saccharum","318","Tree","Whole tree (aboveground)","",NA,"Species","0.56",NA
"SCBI","Cornaceae","Cornus alternifolia","coal","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"SCBI","Cornaceae","Cornus florida","cofl","Tree","Whole tree (aboveground)","",NA,"Species","0.64",NA
"SCBI","Fabaceae","Robinia pseudoacacia","rops","Tree","Stem + branches (live)","",NA,"Species","0.66",NA
"SCBI","Fagaceae","Quercus falcata","qufa","Tree","Whole tree (above stump)","",NA,"Species","0.52",NA
"SCBI","Fagaceae","Quercus falcata","qufa","Tree","Whole tree (above stump)","",NA,"Species","0.52",NA
"SCBI","Nyssaceae","Nyssa sylvatica","nysy","Tree","Stem + branches (live)","",NA,"Species","0.46",NA
"SCBI","Platanaceae","Platanus occidentalis","ploc","Tree","Stem + branches (live)","",NA,"Species","0.46",NA
"SCBI","Ulmaceae","Ulmus americana","ulam","Tree","Whole tree (above stump)","",NA,"Genus","0.46",NA
"SCBI","Ulmaceae","Ulmus rubra","ulru","Tree","Stem + branches (live)","",NA,"Genus","0.48",NA
"SCBI","Adoxaceae","Viburnum acerifolium","viac","Shrub","Total aboveground biomass","",NA,"Species","0.83",NA
"SCBI","Adoxaceae","Viburnum prunifolium","vipr","Shrub","Total aboveground biomass","",NA,"Species","0.83",NA
"SCBI","Adoxaceae","Viburnum recognitum","vire","Shrub","Total aboveground biomass","",NA,"Species","0.83",NA
"SCBI","Caprifoliaceae","Lonicera maackii","loma","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"SCBI","Hamamelidaceae","Hamamelis virginiana","havi","Shrub","Total aboveground biomass","",NA,"Species","0.71",NA
"SCBI","Rosaceae","Rosa multiflora","romu","Shrub","Total aboveground biomass","",NA,"Genus","NRA",NA
"SCBI","Rosaceae","Rubus allegheniensis","rual","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"SCBI","Rosaceae","Rubus pensilvanicus","rupe","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"SCBI","Rosaceae","Rubus phoenicolasius","ruph","Shrub","Total aboveground biomass","",NA,"Species","NRA",NA
"SCBI","Fagaceae","Fagus grandifolia","fagr","Tree","Stem + branches (live)","",NA,"Species ","0.56",NA
"SCBI","Fagaceae","Quercus alba","qual","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"SCBI","Fagaceae","Quercus coccinea","quco","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
"SCBI","Fagaceae","Quercus michauxii","qumi","Tree","Stem + branches (live)","",NA,"Species","0.6",NA
