"site","family","species","wsg","wsg_id","wsg_specificity","ref_wsg_id"
"Tyson","Sapindaceae","Acer saccharum","0.56",NA,NA,NA
"UCSC","Asteraceae","Baccharis pilularis","NRA",NA,NA,NA
"UCSC","Ericaceae","Arctostaphylos andersonii","0.72",NA,NA,NA
"UCSC","Ericaceae","Arctostaphylos tomentosa","0.72",NA,NA,NA
"UCSC","Lauraceae","Umbellularia californica","0.47",NA,NA,NA
"UCSC","Pinaceae","Pseudotsuga menziesii","0.45",NA,NA,NA
"UCSC","Adoxaceae","Sambucus nigra","0.5",NA,NA,NA
"UCSC","Aquifoliaceae","Ilex aquifolium","0.5",NA,NA,NA
"UCSC","Betulaceae","Corylus cornuta","0.5",NA,NA,NA
"UCSC","Cupressaceae","Sequoia sempervirens","0.36",NA,NA,NA
"UCSC","Fagaceae","Quercus agrifolia","0.6",NA,NA,NA
"UCSC","Fagaceae","Quercus parvula","0.59",NA,NA,NA
"UCSC","Myricaceae","Morella californica","0.5",NA,NA,NA
"UCSC","Rhamnaceae","Rhamnus californica","0.5",NA,NA,NA
"UCSC","Rosaceae","Cotoneaster franchetii","0.5",NA,NA,NA
"UCSC","Rosaceae","Cotoneaster pannosus","0.5",NA,NA,NA
"UCSC","Rosaceae","Crataegus monogyna","0.62",NA,NA,NA
"UCSC","Rosaceae","Heteromeles arbutifolia","0.5",NA,NA,NA
"UCSC","Rosaceae","Pyracantha angustifolia","0.5",NA,NA,NA
"UCSC","Salicaceae","Salix lasiandra","0.36",NA,NA,NA
"UCSC","Sapindaceae","Acer macrophyllum","0.44",NA,NA,NA
"UCSC","Ericaceae","Arbutus menziesii","0.58",NA,NA,NA
"UCSC","Ericaceae","Arbutus menziesii","0.58",NA,NA,NA
"UCSC","Fagaceae","Lithocarpus densiflorus","0.56",NA,NA,NA
"UCSC","Fagaceae","Lithocarpus densiflorus","0.56",NA,NA,NA
"UCSC","Fagaceae","Lithocarpus densiflorus","0.56",NA,NA,NA
"UCSC","Ericaceae","Arbutus menziesii","0.58",NA,NA,NA
"UCSC","Ericaceae","Vaccinium ovatum","0.47",NA,NA,NA
"UCSC","Rhamnaceae","Ceanothus thyrsiflorus","0.67",NA,NA,NA
"UCSC","Grossulariaceae","Ribes divaricatum","0.73",NA,NA,NA
"UCSC","Myrtaceae","Eucalyptus globulus","0.68",NA,NA,NA
"UCSC","Pinaceae","Pinus attenuata","0.42",NA,NA,NA
"UCSC","Pinaceae","Pinus ponderosa","0.38",NA,NA,NA
"Wabikon","Betulaceae","Betula alleghaniensis","0.55",NA,NA,NA
"Wabikon","Cupressaceae","Thuja occidentalis ","0.29",NA,NA,NA
"Wabikon","Malvaceae","Tilia americana ","0.32",NA,NA,NA
"Wabikon","Pinaceae","Abies balsamea","0.34",NA,NA,NA
"Wabikon","Pinaceae","Larix laricina","0.49",NA,NA,NA
"Wabikon","Pinaceae","Picea glauca","0.37",NA,NA,NA
"Wabikon","Pinaceae","Picea mariana","0.38",NA,NA,NA
"Wabikon","Salicaceae","Populus balsamifera ","0.31",NA,NA,NA
"Wabikon","Ulmaceae","Ulmus americana ","0.46",NA,NA,NA
"Wabikon","Oleaceae","Fraxinus americana ","0.51",NA,NA,NA
"Wabikon","Caprifoliaceae","Lonicera canadensis","NRA",NA,NA,NA
"Wabikon","Malvaceae","Tilia americana ","0.32",NA,NA,NA
"Wabikon","Oleaceae","Fraxinus nigra","0.45",NA,NA,NA
"Wabikon","Adoxaceae","Sambucus racemosa ","0.5",NA,NA,NA
"Wabikon","Aquifoliaceae","Ilex mucronata","0.5",NA,NA,NA
"Wabikon","Aquifoliaceae","Ilex verticillata","0.5",NA,NA,NA
"Wabikon","Betulaceae","Alnus incana","0.37",NA,NA,NA
"Wabikon","Betulaceae","Corylus cornuta","0.5",NA,NA,NA
"Wabikon","Grossulariaceae","Ribes cynosbati ","0.73",NA,NA,NA
"Wabikon","Juglandaceae","Juglans cinerea ","0.36",NA,NA,NA
"Wabikon","Pinaceae","Pinus strobus ","0.34",NA,NA,NA
"Wabikon","Rosaceae","Amelanchier sanguinea ","0.66",NA,NA,NA
"Wabikon","Rosaceae","Malus pumila","0.61",NA,NA,NA
"Wabikon","Rosaceae","Prunus virginiana ","0.47",NA,NA,NA
"Wabikon","Rosaceae","Sorbus americana","0.42",NA,NA,NA
"Wabikon","Thymelaeaceae","Dirca palustris ","0.33",NA,NA,NA
"Wabikon","Aceraceae","Acer rubrum ","0.49",NA,NA,NA
"Wabikon","Aceraceae","Acer rubrum ","0.49",NA,NA,NA
"Wabikon","Aceraceae","Acer spicatum","0.44",NA,NA,NA
"Wabikon","Betulaceae","Betula papyrifera","0.48",NA,NA,NA
"Wabikon","Betulaceae","Ostrya virginiana","0.63",NA,NA,NA
"Wabikon","Betulaceae","Ostrya virginiana","1.63",NA,NA,NA
"Wabikon","Cornaceae","Cornus alternifolia","0.64",NA,NA,NA
"Wabikon","Fagaceae","Quercus rubra ","0.56",NA,NA,NA
"Wabikon","Pinaceae","Tsuga canadensis","0.38",NA,NA,NA
"Wabikon","Rosaceae","Amelanchier laevis","0.66",NA,NA,NA
"Wabikon","Aceraceae","Acer saccharum","0.56",NA,NA,NA
"Wabikon","Oleaceae","Fraxinus americana ","0.51",NA,NA,NA
"Wabikon","Rosaceae","Prunus pensylvanica","0.5",NA,NA,NA
"Wabikon","Rosaceae","Prunus serotina","0.47",NA,NA,NA
"Wabikon","Salicaceae","Populus grandidentata","0.36",NA,NA,NA
"Wabikon","Salicaceae","Populus tremuloides","0.35",NA,NA,NA
"Wind River","Pinaceae","Tsuga heterophylla","0.42",NA,NA,NA
"Wind River","Pinaceae","Abies grandis","0.35",NA,NA,NA
"Wind River","Caprifoliaceae","Lonicera ciliosa","NRA",NA,NA,NA
"Wind River","Rosaceae","Rosa gymnocarpa","NRA",NA,NA,NA
"Wind River","Betulaceae","Alnus rubra","0.37",NA,NA,NA
"Wind River","Pinaceae","Pseudotsuga menziesii","0.45",NA,NA,NA
"Wind River","Sapindaceae","Acer circinatum","NRA",NA,NA,NA
"Wind River","Sapindaceae","Acer glabrum","0.44",NA,NA,NA
"Wind River","Betulaceae","Corylus cornuta","0.5",NA,NA,NA
"Wind River","Cornaceae","Cornus nuttallii","0.58",NA,NA,NA
"Wind River","Ericaceae","Gaultheria shallon","0.5",NA,NA,NA
"Wind River","Ericaceae","Menziesia ferruginea","0.5",NA,NA,NA
"Wind River","Ericaceae","Rhododendron macrophyllum","0.5",NA,NA,NA
"Wind River","Pinaceae","Pinus monticola","0.35",NA,NA,NA
"Wind River","Rhamnaceae","Rhamnus purshiana","0.5",NA,NA,NA
"Wind River","Rosaceae","Amelanchier alnifolia","0.66",NA,NA,NA
"Wind River","Rosaceae","Oemleria cerasiformis","0.5",NA,NA,NA
"Wind River","Taxaceae","Taxus brevifolia","0.6",NA,NA,NA
"Wind River","Ericaceae","Vaccinium membranaceum","0.47",NA,NA,NA
"Wind River","Ericaceae","Vaccinium ovalifolium","0.47",NA,NA,NA
"Wind River","Ericaceae","Vaccinium parvifolium","0.47",NA,NA,NA
"Wind River","Pinaceae","Pseudotsuga menziesii","0.45",NA,NA,NA
"Wind River","Rosaceae","Holodiscus discolor","0.71",NA,NA,NA
"Wind River","Rosaceae","Rubus leucodermis","NRA",NA,NA,NA
"Wind River","Rosaceae","Rubus spectabalis","NRA",NA,NA,NA
"Wind River","Pinaceae","Abies procera","0.37",NA,NA,NA
"Wind River","Pinaceae","Abies procera","0.37",NA,NA,NA
"Wind River","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Wind River","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Wind River","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Wind River","Pinaceae","Abies procera","0.37",NA,NA,NA
"Wind River","Pinaceae","Abies sp.","0.36",NA,NA,NA
"Wind River","Cupressaceae","Thuja plicata","0.31",NA,NA,NA
"Wind River","Cupressaceae","Thuja plicata","0.31",NA,NA,NA
"Wind River","Pinaceae","Abies grandis","0.35",NA,NA,NA
"Wind River","Pinaceae","Abies amabilis","0.4",NA,NA,NA
"Wytham Woods","Fagaceae","Quercus robur","0.53",NA,NA,NA
"Wytham Woods","Oleaceae","Fraxinus excelsior","0.49",NA,NA,NA
"Wytham Woods","Adoxaceae","Sambucus nigra","0.5",NA,NA,NA
"Wytham Woods","Aquifoliaceae","Ilex aquifolium","0.61",NA,NA,NA
"Wytham Woods","Betulaceae","Betula sp.","0.55",NA,NA,NA
"Wytham Woods","Betulaceae","Carpinus betulus","0.53",NA,NA,NA
"Wytham Woods","Betulaceae","Corylus avellana","0.52",NA,NA,NA
"Wytham Woods","Celastraceae","Euonymus europaeus","0.6",NA,NA,NA
"Wytham Woods","Cornaceae","Cornus sanguinea","0.58",NA,NA,NA
"Wytham Woods","Fagaceae","Castanea sativa","0.5",NA,NA,NA
"Wytham Woods","Fagaceae","Fagus sylvatica","0.53",NA,NA,NA
"Wytham Woods","Malvaceae","Tilia x europaea","0.32",NA,NA,NA
"Wytham Woods","Pinaceae","Larix decidua","0.45",NA,NA,NA
"Wytham Woods","Pinaceae","Picea abies","0.32",NA,NA,NA
"Wytham Woods","Pinaceae","Pinus sylvatica","0.53",NA,NA,NA
"Wytham Woods","Pinaceae","Pseudotsuga menziesii","0.45",NA,NA,NA
"Wytham Woods","Rhamnaceae","Frangula alnus","0.59",NA,NA,NA
"Wytham Woods","Rosaceae","Crataegus monogyna","0.62",NA,NA,NA
"Wytham Woods","Rosaceae","Prunus avium","0.48",NA,NA,NA
"Wytham Woods","Rosaceae","Prunus spinosa","0.7",NA,NA,NA
"Wytham Woods","Salicaceae","Salix sp.","0.36",NA,NA,NA
"Wytham Woods","Sapindaceae","Acer campestre","0.53",NA,NA,NA
"Wytham Woods","Taxaceae","Taxus baccata","0.55",NA,NA,NA
"Wytham Woods","Sapindaceae","Acer pseudoplatanus","0.48",NA,NA,NA
"Yosemite","Pinaceae","Pinus lambertiana","0.34",NA,NA,NA
"Yosemite","Pinaceae","Pseudotsuga menziesii","0.45",NA,NA,NA
"Yosemite","Rosaceae","Prunus emarginata","0.47",NA,NA,NA
"Yosemite","Adoxaceae","Sambucus racemosa","0.5",NA,NA,NA
"Yosemite","Betulaceae","Corylus cornuta subsp. californica","0.5",NA,NA,NA
"Yosemite","Cornaceae","Cornus nuttallii","0.58",NA,NA,NA
"Yosemite","Ericaceae","Rhododendron occidentale","0.5",NA,NA,NA
"Yosemite","Rhamnaceae","Rhamnus californica","0.5",NA,NA,NA
"Yosemite","Rosaceae","Prunus emarginata","0.47",NA,NA,NA
"Yosemite","Rosaceae","Prunus virginiana","0.47",NA,NA,NA
"Yosemite","Salicaceae","Salix scouleriana","0.36",NA,NA,NA
"Yosemite","Salicaceae","Salix sp.","0.36",NA,NA,NA
"Yosemite","Pinaceae","Pinus lambertiana","0.34",NA,NA,NA
"Yosemite","Pinaceae","Pseudotsuga menziesii","0.45",NA,NA,NA
"Yosemite","Ericaceae","Arctostaphylos patula","0.72",NA,NA,NA
"Yosemite","Rhamnaceae","Ceanothus cordulatus","0.67",NA,NA,NA
"Yosemite","Rhamnaceae","Ceanothus integerrimus","0.67",NA,NA,NA
"Yosemite","Rhamnaceae","Ceanothus parvifolius","0.67",NA,NA,NA
"Yosemite","Rosaceae","Holodiscus discolor","0.71",NA,NA,NA
"Yosemite","Grossulariaceae","Ribes nevadense","NRA",NA,NA,NA
