"site","family","species","wsg","wsg_id","wsg_specificity","ref_wsg_id"
"Lilly Dicky","Fabaceae","Robinia pseudoacacia","0.66",NA,NA,NA
"Lilly Dicky","Ulmaceae","Ulmus americana","0.46",NA,NA,NA
"Lilly Dicky","Ulmaceae","Ulmus rubra","0.48",NA,NA,NA
"Lilly Dicky","Oleaceae","Fraxinus americana","0.51",NA,NA,NA
"Lilly Dicky","Oleaceae","Fraxinus pennsylvanica","0.53",NA,NA,NA
"Lilly Dicky","Hamamelidaceae","Hamamelis virginiana","0.71",NA,NA,NA
"Lilly Dicky","Cupressaceae","Juniperus virginiana","0.44",NA,NA,NA
"Lilly Dicky","Fagaceae","Fagus grandifolia","0.56",NA,NA,NA
"Lilly Dicky","Fagaceae","Quercus alba","0.6",NA,NA,NA
"Lilly Dicky","Fagaceae","Quercus coccinea","0.6",NA,NA,NA
"Lilly Dicky","Fagaceae","Quercus prinus","0.57",NA,NA,NA
"Lilly Dicky","Fagaceae","Quercus rubra","0.56",NA,NA,NA
"Lilly Dicky","Fagaceae","Quercus velutina","0.56",NA,NA,NA
"Lilly Dicky","Juglandaceae","Carya ovata","0.62",NA,NA,NA
"Lilly Dicky","Malvaceae","Tilia americana","0.32",NA,NA,NA
"Lilly Dicky","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"Lilly Dicky","Anacardiaceae","Rhus typhina","0.5",NA,NA,NA
"Lilly Dicky","Annonaceae","Asimina triloba","0.47",NA,NA,NA
"Lilly Dicky","Betulaceae","Carpinus caroliniana","0.58",NA,NA,NA
"Lilly Dicky","Cannabaceae","Celtis occidentalis","0.49",NA,NA,NA
"Lilly Dicky","Fabaceae","Cercis canadensis","0.63",NA,NA,NA
"Lilly Dicky","Lauraceae","Lindera benzoin","0.5",NA,NA,NA
"Lilly Dicky","Paulowniaceae","Paulownia tomentosa","0.38",NA,NA,NA
"Lilly Dicky","Rosaceae","Crataegus sp.","0.62",NA,NA,NA
"Lilly Dicky","Betulaceae","Ostrya virginiana","0.63",NA,NA,NA
"Lilly Dicky","Betulaceae","Ostrya virginiana","0.63",NA,NA,NA
"Lilly Dicky","Cornaceae","Cornus florida","0.64",NA,NA,NA
"Lilly Dicky","Fagaceae","Quercus velutina","0.56",NA,NA,NA
"Lilly Dicky","Juglandaceae","Carya alba","0.62",NA,NA,NA
"Lilly Dicky","Juglandaceae","Carya cordiformis","0.6",NA,NA,NA
"Lilly Dicky","Juglandaceae","Carya glabra","0.66",NA,NA,NA
"Lilly Dicky","Lauraceae","Sassafras albidum","0.42",NA,NA,NA
"Lilly Dicky","Magnoliaceae","Liriodendron tulipifera","0.4",NA,NA,NA
"Lilly Dicky","Nyssaceae","Nyssa sylvatica","0.46",NA,NA,NA
"Lilly Dicky","Oleaceae","Fraxinus americana","0.51",NA,NA,NA
"Lilly Dicky","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"Lilly Dicky","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"Lilly Dicky","Rosaceae","Prunus serotina","0.47",NA,NA,NA
"Lilly Dicky","Sapindaceae","Acer rubrum","0.49",NA,NA,NA
"Lilly Dicky","Sapindaceae","Acer saccharum","0.56",NA,NA,NA
"SCBI","Cornaceae","Cornus alternifolia","0.64",NA,NA,NA
"SCBI","Cornaceae","Cornus florida","0.64",NA,NA,NA
"SCBI","Fabaceae","Robinia pseudoacacia","0.66",NA,NA,NA
"SCBI","Fagaceae","Quercus falcata","0.52",NA,NA,NA
"SCBI","Fagaceae","Quercus falcata","0.52",NA,NA,NA
"SCBI","Nyssaceae","Nyssa sylvatica","0.46",NA,NA,NA
"SCBI","Platanaceae","Platanus occidentalis","0.46",NA,NA,NA
"SCBI","Ulmaceae","Ulmus americana","0.46",NA,NA,NA
"SCBI","Ulmaceae","Ulmus rubra","0.48",NA,NA,NA
"SCBI","Adoxaceae","Viburnum acerifolium","0.83",NA,NA,NA
"SCBI","Adoxaceae","Viburnum prunifolium","0.83",NA,NA,NA
"SCBI","Adoxaceae","Viburnum recognitum","0.83",NA,NA,NA
"SCBI","Caprifoliaceae","Lonicera maackii","NRA",NA,NA,NA
"SCBI","Hamamelidaceae","Hamamelis virginiana","0.71",NA,NA,NA
"SCBI","Rosaceae","Rosa multiflora","NRA",NA,NA,NA
"SCBI","Rosaceae","Rubus allegheniensis","NRA",NA,NA,NA
"SCBI","Rosaceae","Rubus pensilvanicus","NRA",NA,NA,NA
"SCBI","Rosaceae","Rubus phoenicolasius","NRA",NA,NA,NA
"SCBI","Fagaceae","Fagus grandifolia","0.56",NA,NA,NA
"SCBI","Fagaceae","Quercus alba","0.6",NA,NA,NA
"SCBI","Fagaceae","Quercus coccinea","0.6",NA,NA,NA
"SCBI","Fagaceae","Quercus michauxii","0.6",NA,NA,NA
"SCBI","Fagaceae","Quercus montana","0.57",NA,NA,NA
"SCBI","Fagaceae","Quercus muehlenbergii","0.6",NA,NA,NA
"SCBI","Fagaceae","Quercus rubra","0.56",NA,NA,NA
"SCBI","Fagaceae","Quercus velutina","0.56",NA,NA,NA
"SCBI","Juglandaceae","Carya cordiformis","0.6",NA,NA,NA
"SCBI","Juglandaceae","Carya glabra","0.66",NA,NA,NA
"SCBI","Juglandaceae","Carya ovalis","0.62",NA,NA,NA
"SCBI","Juglandaceae","Carya tomentosa","0.64",NA,NA,NA
"SCBI","Magnoliaceae","Liriodendron tulipifera","0.4",NA,NA,NA
"SCBI","Malvaceae","Tilia americana","0.32",NA,NA,NA
"SCBI","Oleaceae","Fraxinus americana","0.51",NA,NA,NA
"SCBI","Oleaceae","Fraxinus nigra","0.45",NA,NA,NA
"SCBI","Oleaceae","Fraxinus pennsylvanica","0.53",NA,NA,NA
"SCBI","Rosaceae","Prunus avium","0.47",NA,NA,NA
"SCBI","Rosaceae","Prunus persica","0.47",NA,NA,NA
"SCBI","Rosaceae","Prunus serotina","0.47",NA,NA,NA
"SCBI","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"SCBI","Aceraceae","Acer negundo","0.44",NA,NA,NA
"SCBI","Aceraceae","Acer platanoides","0.44",NA,NA,NA
"SCBI","Aceraceae","Acer rubrum","0.49",NA,NA,NA
"SCBI","Adoxaceae","Sambucus canadensis","0.5",NA,NA,NA
"SCBI","Annonaceae","Asimina triloba","0.47",NA,NA,NA
"SCBI","Aquifoliaceae","Ilex verticillata","0.5",NA,NA,NA
"SCBI","Berberidaceae","Berberis thunbergii","0.5",NA,NA,NA
"SCBI","Betulaceae","Carpinus caroliniana","0.58",NA,NA,NA
"SCBI","Betulaceae","Corylus americana","0.5",NA,NA,NA
"SCBI","Cannabaceae","Celtis occidentalis","0.49",NA,NA,NA
"SCBI","Celastraceae","Euonymus alatus","0.5",NA,NA,NA
"SCBI","Ebenaceae","Diospyros virginiana","0.64",NA,NA,NA
"SCBI","Elaeagnaceae","Elaeagnus umbellata","0.5",NA,NA,NA
"SCBI","Fabaceae","Cercis canadensis","0.63",NA,NA,NA
"SCBI","Fagaceae","Castanea dentata","0.4",NA,NA,NA
"SCBI","Juglandaceae","Juglans cinerea","0.36",NA,NA,NA
"SCBI","Juglandaceae","Juglans nigra","0.51",NA,NA,NA
"SCBI","Lauraceae","Lindera benzoin","0.5",NA,NA,NA
"SCBI","Oleaceae","Chionanthus virginicus","0.5",NA,NA,NA
"SCBI","Paulowniaceae","Paulownia tomentosa","0.38",NA,NA,NA
"SCBI","Pinaceae","Pinus pungens","0.49",NA,NA,NA
"SCBI","Pinaceae","Pinus strobus","0.34",NA,NA,NA
"SCBI","Rosaceae","Crataegus pruinosa","0.62",NA,NA,NA
"SCBI","Simaroubaceae","Ailanthus altissima","0.33",NA,NA,NA
"SCBI","Lauraceae","Sassafras albidum","0.42",NA,NA,NA
"SCBI","Pinaceae","Pinus virginiana","0.45",NA,NA,NA
"SCBI","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"SCBI","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"SERC","Lauraceae","Sassafras albidum","0.42",NA,NA,NA
"SERC","Juglandaceae","Carya cordiformis","0.6",NA,NA,NA
"SERC","Juglandaceae","Carya glabra","0.66",NA,NA,NA
"SERC","Juglandaceae","Carya sp.","0.62",NA,NA,NA
"SERC","Altingiaceae","Liquidambar styraciflua","0.46",NA,NA,NA
"SERC","Cornaceae","Cornus florida","0.64",NA,NA,NA
"SERC","Fagaceae","Quercus falcata","0.52",NA,NA,NA
"SERC","Fagaceae","Quercus falcata","0.52",NA,NA,NA
"SERC","Fagaceae","Quercus stellata","0.6",NA,NA,NA
"SERC","Nyssaceae","Nyssa sylvatica","0.46",NA,NA,NA
"SERC","Oleaceae","Fraxinus pennsylvanica","0.53",NA,NA,NA
"SERC","Platanaceae","Platanus occidentalis","0.46",NA,NA,NA
"SERC","Platanaceae","Platanus occidentalis","0.46",NA,NA,NA
"SERC","Ulmaceae","Ulmus americana","0.46",NA,NA,NA
"SERC","Ulmaceae","Ulmus rubra","0.48",NA,NA,NA
"SERC","Malvaceae","Tilia americana","0.32",NA,NA,NA
"SERC","Oleaceae","Fraxinus americana","0.51",NA,NA,NA
"SERC","Adoxaceae","Viburnum acerifolium","0.83",NA,NA,NA
"SERC","Adoxaceae","Viburnum dentatum","0.83",NA,NA,NA
"SERC","Adoxaceae","Viburnum prunifolium","0.83",NA,NA,NA
"SERC","Caprifoliaceae","Lonicera maackii","NRA",NA,NA,NA
"SERC","Rosaceae","Rosa multiflora","NRA",NA,NA,NA
"SERC","Cupressaceae","Juniperus virginiana","0.44",NA,NA,NA
"SERC","Fagaceae","Quercus michauxii","0.6",NA,NA,NA
"SERC","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"SERC","Rosaceae","Amelanchier canadensis","0.66",NA,NA,NA
"SERC","Aceraceae","Acer negundo","0.44",NA,NA,NA
"SERC","Aceraceae","Acer rubrum","0.49",NA,NA,NA
"SERC","Adoxaceae","Sambucus nigra","0.5",NA,NA,NA
"SERC","Anacardiaceae","Rhus typhina","0.5",NA,NA,NA
"SERC","Annonaceae","Asimina triloba","0.47",NA,NA,NA
"SERC","Aquifoliaceae","Ilex opaca","0.5",NA,NA,NA
"SERC","Aquifoliaceae","Ilex verticillata","0.5",NA,NA,NA
"SERC","Araliaceae","Aralia spinosa","0.5",NA,NA,NA
"SERC","Betulaceae","Carpinus caroliniana","0.58",NA,NA,NA
"SERC","Cannabaceae","Celtis occidentalis","0.49",NA,NA,NA
"SERC","Elaeagnaceae","Elaeagnus angustifolia","0.5",NA,NA,NA
"SERC","Elaeagnaceae","Elaeagnus umbellata","0.5",NA,NA,NA
"SERC","Ericaceae","Kalmia latifolia","0.5",NA,NA,NA
"SERC","Ericaceae","Rhododendron arborescens","0.5",NA,NA,NA
"SERC","Ericaceae","Vaccinium corymbosum","0.47",NA,NA,NA
"SERC","Ericaceae","Vaccinium sp.","0.47",NA,NA,NA
"SERC","Fabaceae","Albizia julibrissin","0.57",NA,NA,NA
"SERC","Fabaceae","Cercis canadensis","0.63",NA,NA,NA
"SERC","Fagaceae","Quercus palustris","0.58",NA,NA,NA
"SERC","Fagaceae","Quercus rubra","0.56",NA,NA,NA
"SERC","Fagaceae","Quercus sp.","0.59",NA,NA,NA
"SERC","Fagaceae","Quercus velutina","0.56",NA,NA,NA
"SERC","Juglandaceae","Juglans nigra","0.51",NA,NA,NA
"SERC","Lauraceae","Lindera benzoin","0.5",NA,NA,NA
"SERC","Moraceae","Broussonetia papyrifera","0.59",NA,NA,NA
"SERC","Moraceae","Morus rubra","0.59",NA,NA,NA
"SERC","Oleaceae","Ligustrum sp.","0.5",NA,NA,NA
"SERC","Rubiaceae","Cephalanthus occidentalis","0.5",NA,NA,NA
"SERC","Salicaceae","Salix nigra","0.36",NA,NA,NA
"SERC","Scrophulariaceae","Paulownia tomentosa","0.38",NA,NA,NA
"SERC","Simaroubaceae","Ailanthus altissima","0.33",NA,NA,NA
"SERC","Fagaceae","Fagus grandifolia","0.56",NA,NA,NA
"SERC","Fagaceae","Quercus alba","0.6",NA,NA,NA
"SERC","Fagaceae","Quercus coccinea","0.6",NA,NA,NA
"SERC","Fagaceae","Quercus montana","0.57",NA,NA,NA
"SERC","Juglandaceae","Carya alba","0.62",NA,NA,NA
"SERC","Magnoliaceae","Liriodendron tulipifera","0.4",NA,NA,NA
"SERC","Pinaceae","Pinus taeda","0.47",NA,NA,NA
"SERC","Pinaceae","Pinus virginiana","0.45",NA,NA,NA
"SERC","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"SERC","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"SERC","Rosaceae","Amelanchier canadensis","0.66",NA,NA,NA
"SERC","Rosaceae","Amelanchier canadensis","0.66",NA,NA,NA
"SERC","Rosaceae","Prunus avium","0.47",NA,NA,NA
"SERC","Rosaceae","Prunus serotina","0.47",NA,NA,NA
"SERC","Salicaceae","Populus grandidentata","0.36",NA,NA,NA
"Tyson","Lauraceae","Sassafras albidum","0.42",NA,NA,NA
"Tyson","Platanaceae","Platanus occidentalis","0.46",NA,NA,NA
"Tyson","Ulmaceae","Ulmus rubra","0.46",NA,NA,NA
"Tyson","Oleaceae","Fraxinus americana","0.51",NA,NA,NA
"Tyson","Caprifoliaceae","Lonicera maackii","NRA",NA,NA,NA
"Tyson","Cupressaceae","Juniperus virginiana","0.44",NA,NA,NA
"Tyson","Fagaceae","Quercus alba","0.6",NA,NA,NA
"Tyson","Fagaceae","Quercus marilandica","0.56",NA,NA,NA
"Tyson","Fagaceae","Quercus muehlenbergii","0.6",NA,NA,NA
"Tyson","Fagaceae","Quercus rubra","0.56",NA,NA,NA
"Tyson","Fagaceae","Quercus sp.","0.6",NA,NA,NA
"Tyson","Fagaceae","Quercus stellata","0.6",NA,NA,NA
"Tyson","Fagaceae","Quercus velutina","0.56",NA,NA,NA
"Tyson","Juglandaceae","Carya ovata","0.62",NA,NA,NA
"Tyson","Malvaceae","Tilia americana","0.32",NA,NA,NA
"Tyson","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"Tyson","Annonaceae","Asimina triloba","0.47",NA,NA,NA
"Tyson","Cannabaceae","Celtis occidentalis","0.49",NA,NA,NA
"Tyson","Cannabaceae","Celtis tenuifolia","0.49",NA,NA,NA
"Tyson","Ebenaceae","Diospyros virginiana","0.64",NA,NA,NA
"Tyson","Fabaceae","Cercis canadensis","0.63",NA,NA,NA
"Tyson","Fabaceae","Gleditsia triacanthos","0.6",NA,NA,NA
"Tyson","Juglandaceae","Juglans nigra","0.51",NA,NA,NA
"Tyson","Lauraceae","Lindera benzoin","0.5",NA,NA,NA
"Tyson","Moraceae","Morus rubra","0.59",NA,NA,NA
"Tyson","Rhamnaceae","Frangula caroliniana","0.54",NA,NA,NA
"Tyson","Rosaceae","Crataegus sp.","0.62",NA,NA,NA
"Tyson","Rosaceae","Malus ioensis","0.61",NA,NA,NA
"Tyson","Sapindaceae","Acer negundo","0.44",NA,NA,NA
"Tyson","Sapotaceae","Sideroxylon lanuginosum","unk",NA,NA,NA
"Tyson","Simaroubaceae","Ailanthus altissima","0.33",NA,NA,NA
"Tyson","Betulaceae","Ostrya virginiana","0.63",NA,NA,NA
"Tyson","Betulaceae","Ostrya virginiana","0.63",NA,NA,NA
"Tyson","Cornaceae","Cornus drummondii","0.64",NA,NA,NA
"Tyson","Cornaceae","Cornus florida","0.64",NA,NA,NA
"Tyson","Fagaceae","Quercus velutina","0.56",NA,NA,NA
"Tyson","Juglandaceae","Carya cordiformis","0.6",NA,NA,NA
"Tyson","Juglandaceae","Carya glabra","0.66",NA,NA,NA
"Tyson","Juglandaceae","Carya sp.","0.62",NA,NA,NA
"Tyson","Juglandaceae","Carya texana","0.54",NA,NA,NA
"Tyson","Juglandaceae","Carya tomentosa","0.64",NA,NA,NA
"Tyson","Oleaceae","Fraxinus americana","0.51",NA,NA,NA
"Tyson","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"Tyson","Rosaceae","Amelanchier arborea","0.66",NA,NA,NA
"Tyson","Rosaceae","Prunus americana","0.47",NA,NA,NA
"Tyson","Rosaceae","Prunus serotina","0.47",NA,NA,NA
"Tyson","Rosaceae","Prunus sp.","0.47",NA,NA,NA
"Tyson","Sapindaceae","Acer rubrum","0.49",NA,NA,NA
