ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2633471,G,Taxaceae,,Amentotaxus,,"argotaenia",,"","(Hance) Pilg.",Accepted,,H,WCSP,382185,828260-1,"Bot. Jahrb. Syst.","54: 41","","1916"
kew-2633473,G,Taxaceae,,Amentotaxus,,"assamica",,"","D.K.Ferguson",Accepted,,H,WCSP,382187,905639-1,"Kew Bull.","40: 115","","1985"
kew-2633475,G,Taxaceae,,Amentotaxus,,"formosana",,"","H.L.Li",Accepted,,H,WCSP,382189,828262-1,"J. Arnold Arbor.","33: 196","","1952"
kew-2633476,G,Taxaceae,,Amentotaxus,,"hatuyenensis",,"","T.H.Nguyên",Accepted,,H,WCSP,382190,988555-1,"in Fl. Camb., Laos & Vietn.","28: 126","","1996"
kew-2633477,G,Taxaceae,,Amentotaxus,,"poilanei",,"","(Ferré & Rouane) D.K.Ferguson",Accepted,,H,WCSP,382191,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","11: 316","","1989 publ. 1990"
kew-2633478,G,Taxaceae,,Amentotaxus,,"yunnanensis",,"","H.L.Li",Accepted,,H,WCSP,382192,828263-1,"J. Arnold Arbor.","33: 197","","1952"
kew-2666726,G,Taxaceae,,Austrotaxus,,"spicata",,"","Compton",Accepted,,H,WCSP,382243,828264-1,"J. Linn. Soc., Bot.","45: 427","","1922"
tro-6900030,G,Taxaceae,,Cephalotaxus,,"filiformis",,"","Knight ex Gord.",Unresolved,,L,TRO,6900030,,"Pinet.","46","46","1858"
kew-2709743,G,Taxaceae,,Cephalotaxus,,"fortunei",,"","Hook.",Accepted,,H,WCSP,382734,261815-1,"Bot. Mag.","76: t. 4499","","1850"
kew-2709744,G,Taxaceae,,Cephalotaxus,,"fortunei",var.,"alpina","H.L.Li",Accepted,,L,WCSP,382735,50909423-1,"Lloydia","16: 164","","1953"
kew-2709750,G,Taxaceae,,Cephalotaxus,,"hainanensis",,"","H.L.Li",Accepted,,H,WCSP,382741,828269-1,"Lloydia","16: 164","","1954"
tro-6900016,G,Taxaceae,,Cephalotaxus,,"harringtonia",var.,"koraiana","(Siebold) Koidz.",Unresolved,,L,TRO,6900016,,"","","",""
kew-2709751,G,Taxaceae,,Cephalotaxus,,"harringtonii",,"","(Knight ex J.Forbes) K.Koch",Accepted,,H,WCSP,382742,,"Dendrologie","2(2): 102","","1873"
kew-2709756,G,Taxaceae,,Cephalotaxus,,"harringtonii",var.,"nana","(Nakai) Rehder",Accepted,,L,WCSP,382747,,"J. Arnold Arbor.","22: 371","","1941"
kew-2709759,G,Taxaceae,,Cephalotaxus,,"harringtonii",var.,"wilsoniana","(Hayata) Kitam.",Accepted,,L,WCSP,382750,,"Acta Phytotax. Geobot.","26: 9","","1974"
kew-2709762,G,Taxaceae,,Cephalotaxus,,"lanceolata",,"","K.M.Feng ex C.Y.Cheng W.C.Cheng & L.K.Fu",Accepted,,H,WCSP,382753,163053-1,"Acta Phytotax. Sin.","13(4): 86","","1975"
kew-2709764,G,Taxaceae,,Cephalotaxus,,"latifolia",,"","W.C.Cheng & L.K.Fu ex L.K.Fu & R.R.Mill",Accepted,,H,WCSP,382755,1007841-1,"Novon","9: 185","","1999"
kew-2709765,G,Taxaceae,,Cephalotaxus,,"mannii",,"","Hook.f.",Accepted,,H,WCSP,382756,261820-1,"Hooker's Icon. Pl.","16: t. 1523","","1886"
kew-2709768,G,Taxaceae,,Cephalotaxus,,"oliveri",,"","Mast.",Accepted,,H,WCSP,382759,261821-1,"Bull. Herb. Boissier","6: 270","","1898"
kew-2709771,G,Taxaceae,,Cephalotaxus,,"sinensis",,"","(Rehder & E.H.Wilson) H.L.Li",Accepted,,H,WCSP,382762,828273-1,"Lloydia","16: 162","","1954"
kew-2551822,G,Taxaceae,,Pseudotaxus,,"chienii",,"","(W.C.Cheng) W.C.Cheng",Accepted,,H,WCSP,379553,828352-1,"Res. Notes Forest. Inst. Natl. Centr. Univ. Nanking, Dendrol. Ser.","1: 1","","1947"
kew-2434158,G,Taxaceae,,Taxus,,"baccata",,"","L.",Accepted,,H,WCSP,378626,306036-2,"Sp. Pl.","1040","","1753"
kew-2434152,G,Taxaceae,,Taxus,,"brevifolia",,"","Nutt.",Accepted,,H,WCSP,378623,249736-2,"N. Amer. Sylv.","3: 86","","1849"
kew-2521219,G,Taxaceae,,Taxus,,"canadensis",,"","Marshall",Accepted,,H,WCSP,379446,828354-1,"Arbust. Amer.","150","","1785"
kew-2434128,G,Taxaceae,,Taxus,,"cuspidata",,"","Siebold & Zucc.",Accepted,,H,WCSP,378602,324379-2,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 232","","1846"
kew-2521720,G,Taxaceae,,Taxus,,"cuspidata",var.,"nana","Rehder",Accepted,,L,WCSP,379483,324381-2,"Cycl. Amer. Hort.","4: 1773","","1902"
kew-2434140,G,Taxaceae,,Taxus,,"floridana",,"","Nutt. ex Chapm.",Accepted,,H,WCSP,378614,285874-2,"Fl. S. U.S.","436","","1860"
kew-2521233,G,Taxaceae,,Taxus,,"fuana",,"","Nan Li & R.R.Mill",Accepted,,H,WCSP,379449,997521-1,"Novon","7: 263","","1997"
kew-2434904,G,Taxaceae,,Taxus,,"globosa",,"","Schltdl.",Accepted,,H,WCSP,378686,249740-2,"Linnaea","12: 496","","1838"
kew-2521232,G,Taxaceae,,Taxus,×,"hunnewelliana",,"","Rehder",Unresolved,,L,WCSP,379448,290428-2,"J. Arnold Arbor.","6: 201","","1925"
kew-2521267,G,Taxaceae,,Taxus,×,"media",,"","Rehder",Unresolved,,L,WCSP,379459,828366-1,"Horticulture (Boston)","3: 30","","1906"
tro-100000051,G,Taxaceae,,Taxus,,"sinensis",,"","Knight ex Gordon",Unresolved,,L,TRO,100000051,,"Pinetum Suppl.","21","21",""
kew-2521326,G,Taxaceae,,Taxus,,"sumatrana",,"","(Miq.) de Laub.",Accepted,,H,WCSP,379462,828370-1,"Kalikasan","7: 151","","1978"
kew-2434832,G,Taxaceae,,Taxus,,"wallichiana",,"","Zucc.",Accepted,,H,WCSP,378675,263869-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","3: 803","","1843"
kew-2872829,G,Taxaceae,,Taxus,,"wallichiana",var.,"chinensis","(Pilg.) Florin",Accepted,,L,WCSP,386697,,"Acta Hort. Berg.","14: 355","","1948"
kew-2514075,G,Taxaceae,,Taxus,,"wallichiana",var.,"mairei","(Lemée & H.Lév.) L.K.Fu & Nan Li",Accepted,,L,WCSP,379357,997520-1,"Novon","7: 263","","1997"
kew-2434739,G,Taxaceae,,Torreya,,"californica",,"","Torr.",Accepted,,H,WCSP,378636,263993-1,"New York J. Pharm. (1852-1854)","3: 49","","1852"
tro-50146129,G,Taxaceae,,Torreya,,"fargesii",var.,"fargesii","",Unresolved,,L,TRO,50146129,,"","","",""
kew-2514068,G,Taxaceae,,Torreya,,"grandis",,"","Fortune ex Lindl.",Accepted,,H,WCSP,379352,20002256-1,"Gard. Chron.","1857: 788","","1857"
kew-2514067,G,Taxaceae,,Torreya,,"grandis",var.,"fargesii","(Franch.) Silba",Accepted,,L,WCSP,379351,923938-1,"Phytologia Mem.","7: 74","","1984"
kew-2514065,G,Taxaceae,,Torreya,,"grandis",var.,"yunnanensis","(W.C.Cheng & L.K.Fu) Silba",Accepted,,L,WCSP,379349,956146-1,"Phytologia","68: 72","","1990"
kew-2514063,G,Taxaceae,,Torreya,,"jackii",,"","Chun",Accepted,,H,WCSP,379347,828378-1,"J. Arnold Arbor.","6: 144","","1925"
kew-2434734,G,Taxaceae,,Torreya,,"nucifera",,"","(L.) Siebold & Zucc.",Accepted,,H,WCSP,378632,263999-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 234","","1846"
kew-2605716,G,Taxaceae,,Torreya,,"parvifolia",,"","T.P.Yi, Lin Yang & T.L.Long",Accepted,,H,WCSP,381432,,"Bull. Bot. Res., Harbin","26: 514","","2006"
kew-2434746,G,Taxaceae,,Torreya,,"taxifolia",,"","Arn.",Accepted,,H,WCSP,378639,264000-1,"Ann. Nat. Hist.","1: 130","","1838"
