ref_id,ref_doi,ref_author,ref_year,ref_title,ref_journal,References full citation,notes,biomass_equation_source
martin_1998_aban,doi.org/10.1139/cjfr-28-11-1648 ,martin,1998,Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species.,Canadian Journal of Forest Research. 28: 1648-1659.,"Martin, J.; Kloeppel, B.; Schaefer, T.; Kimbler, D.; McNulty, S. 1998. Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species. Canadian Journal of Forest Research. 28: 1648-1659.",NA,Martin et al. 1998
means_1107_NA,NA,means,1107,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 1107)"
means_133_NA,NA,means,133,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 133)"
means_187_NA,NA,means,187,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 187)"
means_19_NA,NA,means,19,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 19)"
means_20_NA,NA,means,20,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 20)"
means_21_NA,NA,means,21,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 21)"
means_22_NA,NA,means,22,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 22)"
means_253_NA,NA,means,253,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 253)"
means_27_NA,NA,means,27,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 27)"
means_28_NA,NA,means,28,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 28)"
means_301_NA,NA,means,301,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 301)"
means_323_NA,NA,means,323,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 323)"
means_736_NA,NA,means,736,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 736)"
means_740_NA,NA,means,740,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 740)"
means_767_NA,NA,means,767,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 767)"
means_768_NA,NA,means,768,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 768)"
means_784_NA,NA,means,784,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 784)"
means_991_NA,NA,means,991,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 991)"
muukkonen_2007_gava,doi: 10.1007/s10342-007-0168-4,muukkonen,2007,Generalized allometric volume and biomass equations for some tree species in Europe,"European Journal of Forest Research, Volume 126, Issue 2, pp 157–166","Muukkonen, P. Eur J Forest Res (2007) 126: 157.",NA,"Muukkonen, 2007"
russell_2005_ebic,doi.org/10.4996/fireecology.0101020 ,russell,2005,Estimating biomass in coastal Baccharis pilularis dominated plant communities.,"Fire Ecology, v. 1, no. 1, p. 20-27","Russell, W., and R. Tompkins. 2005. Estimating biomass in coastal Baccharis pilularis dominated plant communities. Fire Ecology, v. 1, no. 1, p. 20-27",NA,"Russell & Tompkins, 2005."
singh_1984_befs,NRA,singh,1984,"Biomass equations for six major tree species of the Northwest Territories. Inf. Rep. NOR-X-257. Edmonton, AB: Canadian Forestry Service, Northern Forest Research Centre.","Inf. Rep. NOR-X-257. Edmonton, AB: Canadian Forestry Service, Northern Forest Research Centre.","Singh, T. 1984. Biomass equations for six major tree species of the Northwest Territories. Inf. Rep. NOR-X-257. Edmonton, AB: Canadian Forestry Service, Northern Forest Research Centre.",NA,"Singh, 1984"
smith_1983_abef,NRA,smith,1983,"Allometric Biomass Equations for 98 Species of Herbs, Shrubs, and Small Trees.","Res. Note NC-299. St. Paul, MN: US. Dept. of Agriculture, Forest Service, North Central Forest Experiment Station.","Smith WB, Brand GJ (1983) Allometric Biomass Equations for 98 Species of Herbs, Shrubs, and Small Trees. Research Note NC-299. St. Paul, MN: US. Dept. of Agriculture, Forest Service, North Central Forest Experiment Station.",NA,Smith et al. 1983
sneill_1983_pcwa,NRA,sneill,1983,Predicting crown weight and bole volume of five western hardwoods.,"Gen. Tech. Rep. PNW-151. Portland, OR: U.S. Department of Agriculture, Forest Service, Pacific Northwest Forest and Range Experiment Station.",NA,NA,"Sneill & Little, 1983"
ter-mikaelian_1997_befs,doi.org/10.1016/s0378-1127(97)00019-4 ,ter-mikaelian,1997,Biomass equations for sixty-five North American tree species.,"Forest Ecology and Management, 1–24.","Ter-Mikaelian M, Korzukhin M (1997) Biomass equations for sixty-five North American tree species. Forest Ecology and Management, 1–24.",NA,"Ter-Mikaelian, 1997"
westman_1998_absa,doi.org/10.1139/x87-052,westman,1998,"Aboveground biomass, surface area, and production relations of red fir (Abies magnifica) and white fir (A. concolor).",Canadian Journal of Forest Research 17: 311–319.,NA,NA,"Westman, 1998"
wiant_1977_tapf,NRA,wiant,1977,Tables and procedures for estimating weights of some Appalachian hardwoods.,"Bull. 659T. Morgantown, WV: West Virginia University Agricultural and Forestry Experiment Station.","Wiant, H. V., Jr.; Sheetz, C.; Colaninno, A.; DeMoss, J.; Castaneda, F. 1977. Tables and procedures for estimating weights of some Appalachian hardwoods. Bull. 659T. Morgantown, WV: West Virginia University Agricultural and Forestry Experiment Station.",original reference not available,Wiant et al. 1977
williams_1984_bpef,NRA,williams,1984,"Biomass prediction equations for seedlings, sprouts, and saplings of ten central hardwood species.",Forest Science. 30: 523-527.,"Williams, R. A.; McClenahen, J. R. 1984. Biomass prediction equations for seedlings, sprouts, and saplings of ten central hardwood species. Forest Science. 30: 523-527.",original reference not available,Williams and McClenahan 1984
yarie_2007_abef,NRA,yarie,2007,Aboveground Biomass Equations for the Trees of Interior Alaska,Agricultural and Forestry Experiment Station. University of Alaska,NA,NA,"Yarie et al, 2007"
