site,family,genus,latin_name,species_code,life_form,warning
scbi,Nyssaceae,Nyssa,Nyssa sylvatica,nysy,Tree,NA
scbi,Paulowniaceae,Paulownia,Paulownia tomentosa,pato,Tree,NA
scbi,Pinaceae,Pinus,Pinus pungens,pipu,Tree,NA
scbi,Pinaceae,Pinus,Pinus strobus,pist,Tree,NA
scbi,Pinaceae,Pinus,Pinus virginiana,pivi,Tree,NA
scbi,Platanaceae,Platanus,Platanus occidentalis,PLOC,Tree,NA
scbi,Rosaceae,Prunus,Prunus avium,prav,Tree,NA
scbi,Rosaceae,Prunus,Prunus persica,prpe,Tree,NA
scbi,Rosaceae,Prunus,Prunus serotina,prse,Tree,NA
scbi,Rosaceae,Prunus,Prunus sp.,prsp,Tree,NA
scbi,Fagaceae,Quercus,Quercus alba,qual,Tree,NA
scbi,Fagaceae,Quercus,Quercus coccinea,quco,Tree,NA
scbi,Fagaceae,Quercus,Quercus falcata,qufa,Tree,NA
scbi,Fagaceae,Quercus,Quercus michauxii,qumi,Tree,NA
scbi,Fagaceae,Quercus,Quercus prinus,qupr,Tree,Accepted name Quercus montana
scbi,Fagaceae,Quercus,Quercus muehlenbergii,qumu,Tree,NA
scbi,Fagaceae,Quercus,Quercus rubra,quru,Tree,NA
scbi,Fagaceae,Quercus,Quercus velutina,quve,Tree,NA
scbi,Fagaceae,Quercus,Quercus sp.,qusp,Tree,NA
scbi,Fabaceae,Robinia,Robinia pseudoacacia,rops,Tree,NA
scbi,Rosaceae,Rosa,Rosa multiflora,romu,Shrub,NA
scbi,Rosaceae,Rubus,Rubus allegheniensis,rual,Shrub,NA
scbi,Rosaceae,Rubus,Rubus pensilvanicus,rupe,Shrub,NA
scbi,Rosaceae,Rubus,Rubus phoenicolasius,ruph,Shrub,NA
scbi,Adoxaceae,Sambucus,Sambucus canadensis,saca,Shrub,NA
scbi,Lauraceae,Sassafras,Sassafras albidum,saal,Tree,NA
scbi,Malvaceae,Tilia,Tilia americana,tiam,Tree,NA
scbi,Ulmaceae,Ulmus,Ulmus americana,ulam,Tree,NA
scbi,Ulmaceae,Ulmus,Ulmus rubra,ulru,Tree,NA
scbi,Ulmaceae,Ulmus,Ulmus sp.,ulsp,Tree,NA
scbi,Adoxaceae,Viburnum,Viburnum acerifolium,viac,Shrub,NA
scbi,Adoxaceae,Viburnum,Viburnum prunifolium,vipr,Shrub,NA
scbi,Adoxaceae,Viburnum,Viburnum recognitum,vire,Shrub,NA
scbi,Unidentified unk,Unidentified,Unidentified,unk,Tree,NA
serc,Sapindaceae,Acer,Acer negundo,ACNE2,Tree,NA
serc,Sapindaceae,Acer,Acer rubrum,ACRU,Tree,NA
serc,Simaroubaceae,Ailanthus,Ailanthus altissima,AIAL,Tree,NA
serc,Fabaceae,Albizia,Albizia julibrissin,ALJU,Tree,NA
serc,Rosaceae,Amelanchier,Amelanchier arborea,AMAR3,Tree,NA
serc,Rosaceae,Amelanchier,Amelanchier canadensis,AMCA4,Tree,NA
serc,Araliaceae,Aralia,Aralia spinosa,ARSP2,Shrub,NA
serc,Annonaceae,Asimina,Asimina triloba,ASTR,Tree,NA
serc,Moraceae,Broussonetia,Broussonetia papyrifera,BRPA4,Tree,NA
serc,Betulaceae,Carpinus,Carpinus caroliniana,CACA18,Tree,NA
serc,Juglandaceae,Carya,Carya alba,CAAL27,Tree,NA
serc,Juglandaceae,Carya,Carya cordiformis,CACO15,Tree,NA
serc,Juglandaceae,Carya,Carya glabra,CAGL8,Tree,NA
serc,Juglandaceae,Carya,Carya sp.,CARYA,Tree,NA
serc,Juglandaceae,Carya,Carya spp.,CARYA,Tree,NA
serc,Cannabaceae,Celtis,Celtis occidentalis,CEOC,Tree,NA
serc,Rubiaceae,Cephalanthus,Cephalanthus occidentalis,CEOC2,Shrub,NA
serc,Fabaceae,Cercis,Cercis canadensis,CECA4,Tree,NA
