site,family,genus,latin_name,species_code,life_form,warning
yosemite,Rosaceae,Prunus,Prunus emarginata,PREM,Tree,using Alnus allometry for small stems of Prunus emarginata @ Yosemite
yosemite,Rosaceae,Prunus,Prunus emarginata,PREM,Tree,NA
yosemite,Rosaceae,Prunus,Prunus virginiana,PRVI,Tree,NA
yosemite,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,PSME,Tree,NA
yosemite,Rhamnaceae,Rhamnus,Rhamnus californica,RHCA,Shrub,NA
yosemite,Ericaceae,Rhododendron,Rhododendron occidentale,RHOC,Shrub,NA
yosemite,Grossulariaceae,Ribes,Ribes nevadaense,RINE,Shrub,NA
yosemite,Grossulariaceae,Ribes,Ribes roezlii,RIRO,Shrub,NA
yosemite,Salicaceae,Salix,Salix scouleriana,SASC,Tree,NA
yosemite,Salicaceae,Salix,Salix spp.,SALIX,Tree,NA
yosemite,Adoxaceae,Sambucus,Sambucus racemosa,SARA,Shrub,NA
yosemite,Ericaceae,Vaccinium,Vaccinium uliginosum,VAUL,Shrub,NA
zofin,Pinaceae,Abies,Abies alba,JD,Tree,NA
zofin,Sapindaceae,Acer,Acer platanoides,JV,Tree,NA
zofin,Sapindaceae,Acer,Acer pseudoplatanus,KL,Tree,NA
zofin,Betulaceae,Betula,Betula pendula,BR,Tree,NA
zofin,Fagaceae,Fagus,Fagus sylvatica,BK,Tree,NA
zofin,Pinaceae,Picea,Picea abies,SM,Tree,NA
zofin,Salicaceae,Populus,Populus tremula,TP,Tree,NA
zofin,Salicaceae,Salix,Salix caprea,VR,Tree,NA
zofin,Sambucaceae,Sambucus,Sambucus racemosa,BEZ,Shrub,NA
zofin,Rosaceae,Sorbus,Sorbus aucuparia,JR,Tree,NA
zofin,Ulmaceae,Ulmus,Ulmus glabra,JL,Tree,NA
utah,Pinaceae,Abies,Abies bifolia,NA,Tree,NA
utah,Pinaceae,Abies,Abies concolor,NA,Tree,NA
utah,Rosaceae,Amelanchier,Amelanchier alnifolia,NA,Tree,NA
utah,Rosaceae,Cercocarpus,Cercocarpus ledifolius,NA,"Shrub, treelet",NA
utah,Cupressaceae,Juniperus,Juniperus communis,NA,Shrub,NA
utah,Cupressaceae,Juniperus,Juniperus scopulorum,NA,Tree,NA
utah,Pinaceae,Picea,Picea engelmannii,NA,Tree,NA
utah,Pinaceae,Picea,Picea pungens,NA,Tree,NA
utah,Pinaceae,Pinus,Pinus edulis,NA,Tree,NA
utah,Pinaceae,Pinus,Pinus flexilis,NA,Tree,using Pseudotsuga menziesii allometries as generic equation for small conifers @ Utah
utah,Pinaceae,Pinus,Pinus flexilis,NA,Tree,using Juniperus osteosperma allometry as proxy for big trees
utah,Pinaceae,Pinus,Pinus longaeva,NA,Tree,using Pseudotsuga menziesii allometries as generic equation for small conifers @ Utah
utah,Pinaceae,Pinus,Pinus longaeva,NA,Tree,using Juniperus osteosperma allometry as proxy for big trees
utah,Pinaceae,Pinus,Pinus ponderosa,NA,Tree,NA
utah,Salicaceae,Populus,Populus tremuloides,NA,Tree,NA
utah,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,NA,Tree,NA
utah,Grossulariaceae,Ribes,Ribes cereum,NA,Shrub,NA
utah,Grossulariaceae,Ribes,Ribes montigenum,NA,Shrub,NA
utah,Adoxaceae,Sambucus,Sambucus racemosa,NA,Shrub,NA
umbc,Adoxaceae,Viburnum,Viburnum prunifolium,NA,Shrub,NA
umbc,Adoxaceae,Viburnum,Viburnum acerifolium,NA,Shrub,NA
umbc,Adoxaceae,Viburnum,Viburnum rhytidophyllum,NA,Shrub,NA
umbc,Aquifoliaceae,Ilex,Ilex opaca,NA,Shrub,NA
umbc,Betulaceae,Betula,Betula nigra,NA,Tree,NA
umbc,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,NA
umbc,Betulaceae,Carpinus,Carpinus caroliniana,NA,Tree,NA
umbc,Cannabaceae,Celtis,Celtis occidentalis,NA,Tree,NA
umbc,Celastraceae,Euonymus,Euonymus atropurpureus,NA,Shrub,NA
umbc,Cornaceae,Cornus,Cornus florida,NA,Tree,NA
umbc,Cornaceae,Cornus,Cornus kousa,NA,Tree,NA
umbc,Cupressaceae,Juniperus,Juniperus virginiana,NA,Tree,NA
umbc,Cupressaceae,Cupressus,Cupressus x leylandii,NA,Tree,NA
umbc,Ebenaceae,Diospyros,Diospyros virginiana,NA,Tree,NA
umbc,Elaeagnaceae,Elaeagnus,Elaeagnus pungens,NA,"Shrub, treelet",NA
umbc,Elaeagnaceae,Elaeagnus,Elaeagnus angustifolia,NA,"Shrub, treelet",NA
umbc,Fabaceae,Gleditsia,Gleditsia triacanthos,NA,Tree,NA
umbc,Fabaceae,Robinia,Robinia pseudoacacia,NA,Tree,NA
umbc,Fabaceae,Cercis,Cercis canadensis,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus sp.,NA,Tree,NA
umbc,Fagaceae,Fagus,Fagus grandifolia,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus coccinea,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus falcata,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus macrocarpa,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus palustris,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus phellos,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus prinus,NA,Tree,NA
umbc,Fagaceae,Quercus,Quercus rubra,NA,Tree,NA
umbc,Hamamelidaceae,Hamamelis,Hamamelis virginiana,NA,Shrub,NA
umbc,Juglandaceae,Juglans,Juglans nigra,NA,Tree,NA
umbc,Juglandaceae,Carya,Carya cordiformis,NA,Tree,NA
umbc,Juglandaceae,Carya,Carya glabra,NA,Tree,NA
umbc,Juglandaceae,Carya,Carya sp.,NA,Tree,NA
umbc,Juglandaceae,Carya,Carya spp.,NA,Tree,NA
umbc,Juglandaceae,Carya,Carya tomentosa,NA,Tree,NA
umbc,Lauraceae,Sassafras,Sassafras albidum,NA,Tree,NA
umbc,Lauraceae,Lindera,Lindera benzoin,NA,Shrub,NA
umbc,Lythraceae,Lagerstroemia,Lagerstroemia indica,NA,Shrub,NA
umbc,Magnoliaceae,Liriodendron,Liriodendron tulipifera,NA,Tree,NA
umbc,Malvaceae,Tilia,Tilia americana,NA,Tree,NA
umbc,Moraceae,Maclura,Maclura pomifera,NA,Tree,NA
umbc,Moraceae,Morus,Morus rubra,NA,Tree,NA
umbc,Moraceae,Morus,Morus alba,NA,Tree,NA
umbc,Nyssaceae,Nyssa,Nyssa sylvatica,NA,Tree,NA
umbc,Oleaceae,Fraxinus,Fraxinus sp.,NA,Tree,NA
umbc,Oleaceae,Fraxinus,Fraxinus americana,NA,Tree,NA
umbc,Oleaceae,Fraxinus,Fraxinus pennsylvanica,NA,Tree,NA
umbc,Oleaceae,Ligustrum,Ligustrum amurense,NA,Tree,NA
umbc,Paulowniaceae,Paulownia,Paulownia tomentosa,NA,Tree,NA
umbc,Pinaceae,Pinus,Pinus thunbergii,NA,Tree,NA
umbc,Pinaceae,Picea,Picea abies,NA,Tree,NA
umbc,Platanaceae,Platanus,Platanus occidentalis,NA,Tree,NA
umbc,Rosaceae,Malus,Malus coronaria,NA,Shrub,NA
umbc,Rosaceae,Malus,Malus sylvestris,NA,Shrub,NA
umbc,Rosaceae,Crataegus,Crataegus spp.,NA,Shrub,NA
umbc,Rosaceae,Amelanchier,Amelanchier arborea,NA,Tree,NA
umbc,Rosaceae,Prunus,Prunus serotina,NA,Tree,NA
umbc,Rosaceae,Prunus,Prunus avium,NA,Tree,NA
umbc,Rosaceae,Pyrus,Pyrus calleryana,NA,Tree,NA
umbc,Rosaceae,Pyrus,Pyrus communis,NA,Tree,NA
umbc,Salicaceae,Salix,Salix nigra,NA,Tree,NA
umbc,Salicaceae,Populus,Populus deltoides,NA,Tree,NA
umbc,Sapindaceae,Acer,Acer negundo,NA,Tree,NA
umbc,Sapindaceae,Acer,Acer platanoides,NA,Tree,NA
umbc,Sapindaceae,Acer,Acer rubrum,NA,Tree,NA
umbc,Sapindaceae,Acer,Acer saccharinum,NA,Tree,NA
umbc,Sapindaceae,Acer,Acer saccharum,NA,Tree,NA
umbc,Simaroubaceae,Ailanthus,Ailanthus altissima,NA,Tree,NA
umbc,Ulmaceae,Ulmus,Ulmus americana,NA,Tree,NA
umbc,Ulmaceae,Ulmus,Ulmus parvifolia x carpinifolia,NA,Tree,NA
harvard forest,Adoxaceae,Sambucus,Sambucus racemosa,NA,Shrub,NA
harvard forest,Adoxaceae,Viburnum,Viburnum dentatum,NA,Shrub,NA
harvard forest,Adoxaceae,Viburnum,Viburnum acerifolium,NA,Shrub,NA
harvard forest,Anacardiaceae,Toxicodendron,Toxicodendron vernix,NA,Shrub,NA
harvard forest,Aquifoliaceae,Ilex,Ilex laevigata,NA,Shrub,NA
harvard forest,Aquifoliaceae,Ilex,Ilex verticillata,NA,Shrub,NA
harvard forest,Betulaceae,Alnus,Alnus incana,NA,Tree,NA
harvard forest,Betulaceae,Betula,Betula alleghaniensis,NA,Tree,NA
harvard forest,Betulaceae,Betula,Betula lenta,NA,Tree,NA
harvard forest,Betulaceae,Betula,Betula papyrifera,NA,Tree,NA
harvard forest,Betulaceae,Betula,Betula populifolia,NA,Tree,NA
harvard forest,Betulaceae,Betula,Betula unknown,NA,Tree,NA
harvard forest,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,NA
harvard forest,Cupressaceae,Juniperus,Juniperus communis,NA,Shrub,NA
harvard forest,Ericaceae,Kalmia,Kalmia latifolia,NA,Shrub,NA
harvard forest,Ericaceae,Lyonia,Lyonia ligustrina,NA,Shrub,NA
harvard forest,Ericaceae,Rhododendron,Rhododendron prinophyllum,NA,Shrub,NA
harvard forest,Ericaceae,Vaccinium,Vaccinium corymbosum,NA,Shrub,NA
harvard forest,Fagaceae,Castanea,Castanea dentata,NA,Tree,NA
harvard forest,Fagaceae,Fagus,Fagus grandifolia,NA,Tree,NA
harvard forest,Fagaceae,Quercus,Quercus rubra,NA,Tree,NA
harvard forest,Fagaceae,Quercus,Quercus unknown,NA,Tree,NA
harvard forest,Fagaceae,Quercus,Quercus velutina,NA,Tree,NA
harvard forest,Hamamelidaceae,Hamamelis,Hamamelis virginiana,NA,Shrub,NA
harvard forest,Lauraceae,Lindera,Lindera benzoin,NA,Shrub,NA
harvard forest,Nyssaceae,Nyssa,Nyssa sylvatica,NA,Tree,NA
harvard forest,Oleaceae,Fraxinus,Fraxinus americana,NA,Tree,NA
harvard forest,Oleaceae,Fraxinus,Fraxinus nigra,NA,Tree,NA
harvard forest,Pinaceae,Picea,Picea abies,NA,Tree,NA
harvard forest,Pinaceae,Picea,Picea rubens,NA,Tree,NA
harvard forest,Pinaceae,Picea,Picea unknown,NA,Tree,NA
harvard forest,Pinaceae,Pinus,Pinus resinosa,NA,Tree,NA
harvard forest,Pinaceae,Pinus,Pinus strobus,NA,Tree,NA
harvard forest,Pinaceae,Pinus,Pinus unknown,NA,Tree,NA
harvard forest,Pinaceae,Tsuga,Tsuga canadensis,NA,Tree,NA
harvard forest,Rhamnaceae,Frangula,Frangula alnus,NA,Shrub,NA
harvard forest,Rosaceae,Amelanchier,Amelanchier laevis,NA,Shrub,NA
harvard forest,Rosaceae,Aronia,Aronia melanocarpa,NA,Shrub,NA
harvard forest,Rosaceae,Crataegus,Crataegus spp.,NA,Shrub,NA
harvard forest,Rosaceae,Prunus,Prunus serotina,NA,Tree,NA
harvard forest,Rosaceae,Sorbus,Sorbus americana,NA,Shrub,NA
harvard forest,Salicaceae,Populus,Populus grandidentata,NA,Tree,NA
harvard forest,Salicaceae,Populus,Populus tremuloides,NA,Tree,NA
harvard forest,Salicaceae,Salix,Salix spp.,NA,Tree,NA
harvard forest,Sapindaceae,Acer,Acer rubrum,NA,Tree,NA
harvard forest,Sapindaceae,Acer,Acer saccharum,NA,Tree,NA
harvard forest,Ulmaceae,Ulmus,Ulmus americana,NA,Tree,NA
scotty creek,Betulaceae,Alnus,Alnus viridis ssp. crispa,NA,Tree,NA
scotty creek,Betulaceae,Betula,Betula glandulosa,NA,Shrub,NA
scotty creek,Betulaceae,Betula,Betula neoalaskana,NA,Tree,NA
scotty creek,Betulaceae,Betula,Betula occidentalis,NA,Tree,NA
scotty creek,Betulaceae,Betula,Betula pubescens,NA,Tree,NA
scotty creek,Betulaceae,Betula,Betula spp.,NA,Shrub,NA
scotty creek,Pinaceae,Larix,Larix laricina,NA,Tree,NA
scotty creek,Pinaceae,Picea,Picea glauca,NA,Tree,NA
scotty creek,Pinaceae,Picea,Picea mariana,NA,Tree,NA
scotty creek,Pinaceae,Pinus,Pinus banksiana,NA,Tree,NA
scotty creek,Salicaceae,Salix,Salix sp.,NA,Shrub,NA
michigan big woods,Adoxaceae,Sambucus,Sambucus canadensis,NA,Shrub,NA
michigan big woods,Aquifoliaceae,Ilex,Ilex verticillata,NA,Shrub,NA
michigan big woods,Betulaceae,Betula,Betula alleghaniensis,NA,Tree,NA
michigan big woods,Betulaceae,Betula,Betula alleghaniensis,NA,Tree,
michigan big woods,Betulaceae,Carpinus,Carpinus caroliniana,NA,Tree,NA
michigan big woods,Betulaceae,Carpinus,Carpinus caroliniana,NA,Tree,
michigan big woods,Betulaceae,Corylus,Corylus americana,NA,"Shrub, treelet",NA
michigan big woods,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,NA
michigan big woods,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,
michigan big woods,Cornaceae,Cornus,Cornus alternifolia,NA,Tree,NA
michigan big woods,Cornaceae,Cornus,Cornus amomum,NA,Shrub,NA
michigan big woods,Cornaceae,Cornus,Cornus florida,NA,Tree,NA
michigan big woods,Cornaceae,Cornus,Cornus racemosa,NA,Shrub,NA
michigan big woods,Cupressaceae,Juniperus,Juniperus communis,NA,Shrub,NA
michigan big woods,Cupressaceae,Juniperus,Juniperus virginiana,NA,Tree,NA
michigan big woods,Cupressaceae,Thuja,Thuja occidentalis,NA,Tree,NA
michigan big woods,Elaeagnaceae,Elaeagnus,Elaeagnus umbellata,NA,"Shrub, treelet",NA
michigan big woods,Ericaceae,Vaccinium,Vaccinium corymbosum,NA,Shrub,NA
michigan big woods,Fabaceae,Robinia,Robinia pseudoacacia,NA,Tree,NA
michigan big woods,Fagaceae,Fagus,Fagus grandifolia,NA,Tree,NA
michigan big woods,Fagaceae,Quercus,Quercus alba,NA,Tree,NA
michigan big woods,Fagaceae,Quercus,Quercus rubra,NA,Tree,NA
michigan big woods,Fagaceae,Quercus,Quercus rubra,NA,Tree,
michigan big woods,Fagaceae,Quercus,Quercus velutina,NA,Tree,NA
michigan big woods,Fagaceae,Quercus,Quercus x hawkinsiae,NA,Tree,NA
michigan big woods,Fagaceae,Quercus,Quercus x palaeolithicola,NA,Tree,NA
michigan big woods,Grossulariaceae,Ribes,Ribes cynosbati,NA,Shrub,NA
michigan big woods,Hamamelidaceae,Hamamelis,Hamamelis virginiana,NA,Shrub,NA
michigan big woods,Juglandaceae,Carya,Carya cordiformis,NA,Tree,NA
michigan big woods,Juglandaceae,Carya,Carya glabra,NA,Tree,NA
michigan big woods,Juglandaceae,Carya,Carya ovata,NA,Tree,NA
michigan big woods,Juglandaceae,Carya,Carya spp.,NA,Tree,NA
michigan big woods,Juglandaceae,Juglans,Juglans nigra,NA,Tree,NA
michigan big woods,Lauraceae,Lindera,Lindera benzoin,NA,Shrub,NA
michigan big woods,Lauraceae,Sassafras,Sassafras albidum,NA,Tree,NA
michigan big woods,Oleaceae,Fraxinus,Fraxinus americana,NA,Tree,NA
michigan big woods,Oleaceae,Fraxinus,Fraxinus americana,NA,Tree,
michigan big woods,Rosaceae,Amelanchier,Amelanchier arborea,NA,Tree,NA
michigan big woods,Rosaceae,Malus,Malus sp.,NA,Shrub,NA
michigan big woods,Rosaceae,Prunus,Prunus serotina,NA,Tree,NA
michigan big woods,Rosaceae,Prunus,Prunus serotina,NA,Tree,
michigan big woods,Rosaceae,Prunus,Prunus virginiana,NA,Tree,NA
michigan big woods,Rosaceae,Prunus,Prunus virginiana,NA,Tree,
michigan big woods,Rosaceae,Pyrus,Pyrus sp.,NA,Tree,NA
michigan big woods,Rosaceae,Prunus,Pyrus sp.,NA,Tree,
michigan big woods,Rutaceae,Zanthoxylum,Zanthoxylum americanum,NA,"Shrub, treelet",NA
michigan big woods,Salicaceae,Populus,Populus grandidentata,NA,Tree,NA
michigan big woods,Salicaceae,Populus,Populus grandidentata,NA,Tree,
michigan big woods,Sapindaceae,Acer,Acer rubrum,NA,Tree,NA
michigan big woods,Sapindaceae,Acer,Acer rubrum,NA,Tree,
michigan big woods,Sapindaceae,Acer,Acer saccharum,NA,Tree,NA
michigan big woods,Sapindaceae,Acer,Acer saccharum,NA,Tree,
michigan big woods,Simaroubaceae,Ailanthus,Ailanthus altissima,NA,Tree,NA
michigan big woods,Tiliaceae,Tilia,Tilia americana,NA,Tree,Accepted family Malvaceae
michigan big woods,Ulmaceae,Ulmus,Ulmus americana,NA,Tree,NA
traunstein ,Pinaceae,Picea,Picea abies,10,Tree,NA
traunstein ,Pinaceae,Abies,Abies alba,20,Tree,NA
traunstein ,Pinaceae,Pinus,Pinus sylvestris,30,Tree,NA
traunstein ,Pinaceae,Larix,Larix decidua,40,Tree,NA
traunstein ,Fagaceae,Fagus,Fagus sylvatica,50,Tree,NA
traunstein ,Sapindaceae,Aesculus,Aesculus hippocastanum,59,Tree,NA
traunstein ,Fagaceae,Quercus,Quercus sp. ,60,Tree,NA
traunstein ,Fagaceae,Quercus,Quercus rubra,61,Tree,NA
traunstein ,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,70,Tree,NA
traunstein ,Cupressaceae,Thuja,Thuja plicata,72,Tree,NA
traunstein ,Oleaceae,Fraxinus,Fraxinus excelsior,82,Tree,NA
traunstein ,Betulaceae,Carpinus,Carpinus betulus,83,Tree,NA
traunstein ,Betulaceae,Betula,Betula sp. ,84,Tree,NA
traunstein ,Tiliaceae,Tilia,Tilia sp. ,85,Tree,NA
traunstein ,Ulmaceae,Ulmus,Ulmus glabra,86,Tree,NA
traunstein ,Rosaceae,Sorbus,Sorbus torminalis,87,Tree,NA
traunstein ,Rosaceae,Prunus,Prunus avium,88,Tree,NA
traunstein ,Rosaceae,Sorbus,Sorbus aucuparia,89,Tree,NA
traunstein ,Betulaceae,Alnus,Alnus glutinosa,91,Tree,NA
traunstein ,Salicaceae,Populus,Populus sp. ,92,Tree,NA
traunstein ,Salicaceae,Populus,Populus tremula,93,Tree,NA
traunstein ,Salicaceae,Salix,Salix sp. ,94,Tree,NA
traunstein ,Rosaceae,Sorbus,Sorbus aria,99,Tree,NA
traunstein ,conifer,Unk,Unk conifer ,100,Tree,NA
traunstein ,broadleaf,Unk,Unk broadleaf ,500,Tree,NA
traunstein ,Sapindaceae,Acer,Acer pseudoplatanus,811,Tree,NA
traunstein ,Sapindaceae,Acer,Acer platanoides,812,Tree,NA
traunstein ,Sapindaceae,Acer,Acer campestre,813,Tree,NA
traunstein ,Juglandaceae,Juglans,Juglans regia,971,Tree,NA
speulderbos,Betulaceae,Betula,Betula pendula,NA,Tree,Using Betula height allometries from Bonh 2014 (allodb eq 2bc879)
speulderbos,Betulaceae,Betula,Betula pubescens,NA,Tree,Using Betula height allometries from Bonh 2014 (allodb eq 2bc879)
speulderbos,Fagaceae,Fagus,Fagus sylvatica,NA,Tree,Using Fagus height allometries from Bonh 2014 (allodb eq 7a3dce)
speulderbos,Aquifoliaceae,Ilex,Ilex aquifolium,NA,Shrub,Using Fagus height allometries from Bonh 2014 (allodb eq 7a3dce)
speulderbos,Pinaceae,Larix,Larix kaempferi,NA,Tree,Using Pinus height allometries from Bonh 2014 (allodb eq b4a502)
speulderbos,Pinaceae,Larix,Larix x marschlinsii,NA,Tree,Using Pinus height allometries from Bonh 2014 (allodb eq b4a502)
speulderbos,Pinaceae,Pinus,Pinus sylvestris,NA,Tree,Using Pinus height allometries from Bonh 2014 (allodb eq b4a502)
speulderbos,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,NA,Tree,Using Pinus height allometries from Bonh 2014 (allodb eq b4a502)
speulderbos,Fagaceae,Quercus,Quercus petraea,NA,Tree,Using Quercus height allometries from Bonh 2014 (allodb eq f96447)
speulderbos,Fagaceae,Quercus,Quercus robur,NA,Tree,Using Quercus height allometries from Bonh 2014 (allodb eq f96447)
speulderbos,Fagaceae,Quercus,Quercus rubra,NA,Tree,Using Quercus height allometries from Bonh 2014 (allodb eq f96447)
speulderbos,Rosaceae,Sorbus,Sorbus aucuparia,NA,Tree,Using Fagus height allometries from Bonh 2014 (allodb eq 7a3dce)
speulderbos,Pinaceae,Tsuga,Tsuga heterophylla,NA,Tree,Using Pinus height allometries from Bonh 2014 (allodb eq b4a502)
niobrara,Sapindaceae,Acer,Acer negundo,ACERNE,Tree,NA
niobrara,Betulaceae,Betula,Betula papyrifera,BETUPA,Tree,NA
niobrara,Cannabaceae,Celtis,Celtis occidentalis,CELTOC,Tree,NA
niobrara,Cornaceae,Cornus,Cornus sericea,CORNSE,Shrub,NA
niobrara,Oleaceae,Fraxinus,Fraxinus pennsylvanica,FRAXPE,Tree,NA
niobrara,Juglandaceae,Juglans,Juglans nigra,JUGLNI,Tree,NA
niobrara,Cupressaceae,Juniperus,Juniperus virginiana,JUNIVI,Tree,NA
niobrara,Moraceae,Morus,Morus alba,MORUAL,Tree,
niobrara,Betulaceae,Ostrya,Ostrya virginiana,OSTRVI,Tree,NA
niobrara,Rosaceae,Physocarpus,Physocarpus opulifolius ,PHYSOP,Shrub,
niobrara,Pinaceae,Pinus,Pinus ponderosa,PINUPO,Tree,NA
niobrara,Salicaceae,Populus,Populus deltoides,POPUDE,Tree,NA
niobrara,Rosaceae,Prunus,Prunus americana,PRUNAM,"Treelet, shrub",NA
niobrara,Rosaceae,Prunus,Prunus virginiana,PRUNVI,"Treelet, shrub",NA
niobrara,Fagaceae,Quercus,Quercus macrocarpa,QUERMA,Tree,NA
niobrara,Anacardiaceae,Rhus,Rhus aromatica,RHUSAR,Shrub,NA
niobrara,Anacardiaceae,Rhus,Rhus glabra,RHUSGL,Shrub,NA
niobrara,Salicaceae,Salix,Salix amygdaloides,SALIAM,"Treelet, shrub",
niobrara,Salicaceae,Salix,Salix eriocephala,SALIER,"Treelet, shrub",
niobrara,Salicaceae,Salix,Salix interior,SALIIN,"Treelet, shrub",
niobrara,Malvaceae,Tilia,Tilia americana,TILIAM,Tree,NA
niobrara,Ulmaceae,Ulmus,Ulmus americana,ULMUAM,Tree,
niobrara,Ulmaceae,Ulmus,Ulmus rubra,ULMURU,Tree,
niobrara,Ulmaceae,Ulmus,Ulmus sp,ULMUXX,Tree,
indian cave,Sapindaceae,Acer,Acer negundo,ACERNE,Tree,NA
indian cave,Simaroubaceae,Ailanthus,Ailanthus altissima,AILAAL,Tree,
indian cave,Rosaceae,Amelanchier,Amelanchier arborea,AMELAR,Treelet,
indian cave,Annonaceae,Asimina,Asimina triloba,ASIMTR,Treelet,NA
indian cave,Juglandaceae,Carya,Carya cordiformis,CARYCO,Tree,
indian cave,Juglandaceae,Carya,Carya ovata,CARYOV,Tree,
indian cave,Bignoniaceae,Catalpa,Catalpa speciosa,CATASP,Tree,
indian cave,Cannabaceae,Celtis,Celtis occidentalis,CELTOC,Tree,NA
indian cave,Fabaceae,Cercis,Cercis canadensis,CERCCA,Treelet,NA
indian cave,Cornaceae,Cornus,Cornus drummondii,CORNDR,Shrub,NA
indian cave,Betulaceae,Corylus,Corylus americana,CORYAM,"Shrub, treelet",NA
indian cave,Rosaceae,Crataegus,Crataegus mollis,CRATMO,Tree,NA
indian cave,Celastraceae,Euonymus,Euonymus atropurpureus,EUONAT,"Shrub, treelet",
indian cave,Oleaceae,Fraxinus,Fraxinus americana,FRAXAM,Tree,NA
indian cave,Fabaceae,Gleditsia,Gleditsia triacanthos,GLEDTR,Tree,NA
indian cave,Fabaceae,Gymnocladus,Gymnocladus dioicus,GYMNDI,Tree,NA
indian cave,Juglandaceae,Juglans,Juglans nigra,JUGLNI,Tree,NA
indian cave,Cupressaceae,Juniperus,Juniperus virginiana,JUNIVI,Tree,NA
indian cave,Caprifoliaceae,Lonicera,Lonicera maackii,LONIMA,"Shrub, treelet",
indian cave,Moraceae,Maclura,Maclura pomifera,MACLPO,Tree,
indian cave,Moraceae,Morus,Morus alba,MORUAL,Tree,NA
indian cave,Moraceae,Morus,Morus rubra,MORURU,Tree,NA
indian cave,Betulaceae,Ostrya,Ostrya virginiana,OSTRVI,Tree,NA
indian cave,Platanaceae,Platanus,Platanus occidentalis,PLATOC,Tree,NA
indian cave,Salicaceae,Populus,Populus deltoides,POPUDE,Tree,NA
indian cave,Rosaceae,Prunus,Prunus serotina,PRUNSE,Tree,
indian cave,Fagaceae,Quercus,Quercus macrocarpa,QUERMA,Tree,NA
indian cave,Fagaceae,Quercus,Quercus muehlenbergii,QUERMU,Tree,
indian cave,Fagaceae,Quercus,Quercus rubra,QUERRU,Tree,
indian cave,Fagaceae,Quercus,Quercus velutina,QUERVE,Tree,
indian cave,Anacardiaceae,Rhus,Rhus glabra,RHUSGL,Shrub,NA
indian cave,Rosaceae,Rosa,Rosa multiflora,ROSAMU,Shrub,
indian cave,Rosaceae,Rubus,Rubus allegheniensis,RUBUAL,Shrub,
indian cave,Adoxaceae,Sambucus,Sambucus canadensis,SAMBCA,Shrub,NA
indian cave,Staphyleaceae,Staphylea,Staphylea trifolia,STAPHTR,Shrub,
indian cave,Malvaceae,Tilia,Tilia americana,TILIAM,Tree,NA
indian cave,Ulmaceae,Ulmus,Ulmus americana,ULMUAM,Tree,
indian cave,Ulmaceae,Ulmus,Ulmus rubra,ULMURU,Tree,
indian cave,Ulmaceae,Ulmus,Ulmus thomasii,ULMUTH,Tree,
indian cave,Rutaceae,Zanthoxylum,Zanthoxylum americanum,ZANTAM,Shrub,
ordway-swisher,Fabaceae,Amorpha,Amorpha fruticosa,AMFR,Shrub,
ordway-swisher,Ebenaceae,Diospyros,Diospyros virginiana,DIVI,Tree,NA
ordway-swisher,Pinaceae,Pinus,Pinus palustris,PIPA,Tree,NA
ordway-swisher,Fagaceae,Quercus,Quercus geminata,QUGE,Tree,
ordway-swisher,Fagaceae,Quercus,Quercus hemisphaerica,QUHE,Tree,
ordway-swisher,Fagaceae,Quercus,Quercus laevis,QULA,Tree,
ordway-swisher,Fagaceae,Quercus,Quercus margarettae,QUMA,Tree,
ordway-swisher,Ericaceae,Vaccinium,Vaccinium arboreum,VAAR,Shrub,NA
ordway-swisher,Ericaceae,Vaccinium,Vaccinium stamineum,VAST,Shrub,NA
changbaishan,Pinaceae,Abies,Abies holophylla,,Tree,
changbaishan,Pinaceae,Abies,Abies nephrolepis ,,Tree,
changbaishan,Araliaceae,Acanthopanax,Acanthopanax senticosus,,Tree,
changbaishan,Aceraceae,Acer,Acer barbinerve,,Tree,
changbaishan,Aceraceae,Acer,Acer ginnala,,Tree,
changbaishan,Aceraceae,Acer,Acer mandshuricum,,Tree,
changbaishan,Aceraceae,Acer,Acer mono,,Tree,
changbaishan,Aceraceae,Acer,Acer pseudosieboldianum,,Tree,
changbaishan,Aceraceae,Acer,Acer tegmentosum,,Tree,
changbaishan,Aceraceae,Acer,Acer triflorum,,Tree,
changbaishan,Aceraceae,Acer,Acer tschonoskii,,Tree,
changbaishan,Actinidiaceae,Actinidia,Actinidia kolomikta,,Tree,
changbaishan,Araliaceae,Aralia,Aralia elata,,"Shrub, treelet",
changbaishan,Betulaceae,Betula,Betula costata,,Tree,
changbaishan,Betulaceae,Betula,Betula platyphylla,,Tree,
changbaishan,Rosaceae,Cerasus,Cerasus maximowiczii,,Tree,
